Sentence,Noun,Gender,Case
Die Schafe sind von der Oberseite der Felswand heruntergefallen,Oberseite,Fem,Dat
Die Schafe sind von der Oberseite der Felswand heruntergefallen,Felswand,Neut,Gen
Der Staub reizte den Hals,Staub,Masc,Nom
Der Staub reizte den Hals,Hals,Masc,Acc
Diese Region wird von der Trockenheit heimgesucht,Region,Fem,Nom
Diese Region wird von der Trockenheit heimgesucht,Trockenheit,Fem,Dat
Die Flut hat ausschließlich materiellen Schaden angerichtet,Flut,Fem,Nom
Die Flut hat ausschließlich materiellen Schaden angerichtet,Schaden,Masc,Acc
Die Dammschleusen wurden geöffnet,Dammschleusen,Masc,Nom
Diese Inselgruppe ist ein Piratennest,Inselgruppe,Fem,Nom
Diese Inselgruppe ist ein Piratennest,Piratennest,Masc,Nom
Heute Abend ist Vollmond,Abend,Masc,Acc
Der Zyklus der Gezeiten wiederholt sich seit Anbeginn der Zeit,Zyklus,Masc,Nom
Der Zyklus der Gezeiten wiederholt sich seit Anbeginn der Zeit,Gezeiten,Fem,Gen
Der Zyklus der Gezeiten wiederholt sich seit Anbeginn der Zeit,Anbeginn,Masc,Dat
Der Zyklus der Gezeiten wiederholt sich seit Anbeginn der Zeit,Zeit,Fem,Gen
Er kann diese Konstellation wiedererkennen,Konstellation,Fem,Acc
Die sechs Meter hohe Welle brach am Strand,Meter,Masc,Acc
Die sechs Meter hohe Welle brach am Strand,Welle,Fem,Nom
Die sechs Meter hohe Welle brach am Strand,Strand,Masc,Dat
Die Brise weht leicht,Brise,Fem,Nom
Ein feiner Nieselregen fällt auf die Stadt,Nieselregen,Fem,Gen
Ein feiner Nieselregen fällt auf die Stadt,Stadt,Fem,Acc
In der Morgendämmerung perlt ein feiner Tau auf den Blättern,Morgendämmerung,Fem,Dat
In der Morgendämmerung perlt ein feiner Tau auf den Blättern,Tau,Masc,Nom
In der Morgendämmerung perlt ein feiner Tau auf den Blättern,Blättern,Neut,Dat
Das Wetter ist heute sehr schön,Wetter,Neut,Nom
Die lokale Fauna hat einen außergewöhnlichen Reichtum,Fauna,Fem,Nom
Die lokale Fauna hat einen außergewöhnlichen Reichtum,Reichtum,Masc,Acc
"Pass auf diese Blume auf, da sind Dornen auf dem Stängel",Blume,Masc,Acc
"Pass auf diese Blume auf, da sind Dornen auf dem Stängel",Dornen,Fem,Nom
"Pass auf diese Blume auf, da sind Dornen auf dem Stängel",Stängel,Masc,Dat
Er riss die Blütenblätter eins nach dem anderen ab,Blütenblätter,Fem,Acc
"Man muss den Fruchtkern herausnehmen, wenn du daraus Kompott machen möchtest",Fruchtkern,Masc,Dat
"Man muss den Fruchtkern herausnehmen, wenn du daraus Kompott machen möchtest",Kompott,Masc,Acc
"Man muss den Fruchtkern herausnehmen, wenn du daraus Kompott machen möchtest",möchtest,Masc,Acc
Die Baumstämme trieben auf dem Fluß,Baumstämme,Masc,Nom
Die Baumstämme trieben auf dem Fluß,Fluß,Masc,Dat
Basalt entsteht beim schnellen Erkalten der Lava,Basalt,Masc,Nom
Basalt entsteht beim schnellen Erkalten der Lava,Erkalten,Masc,Dat
Basalt entsteht beim schnellen Erkalten der Lava,Lava,Fem,Gen
Man kann an Granitblöcken klettern,Granitblöcken,Fem,Acc
"Man muss die vorhandenen Mineralieren in dem Felsen identifizieren, um seinen Namen zu bestimmen",Mineralieren,Neut,Acc
"Man muss die vorhandenen Mineralieren in dem Felsen identifizieren, um seinen Namen zu bestimmen",Felsen,Masc,Dat
"Man muss die vorhandenen Mineralieren in dem Felsen identifizieren, um seinen Namen zu bestimmen",Namen,Masc,Acc
Dieser Kristal enthält keine einzige Unreinheit,Kristal,Masc,Nom
Dieser Kristal enthält keine einzige Unreinheit,Unreinheit,Fem,Acc
Der Felsen wird unter Schmelzung zu Lava,Felsen,Masc,Nom
Der Felsen wird unter Schmelzung zu Lava,Schmelzung,Fem,Dat
Der Vulkan Eyjafiöll hat angefangen zu spucken,Vulkan,Masc,Nom
Die Erosion hat die Landschaft behauen,Erosion,Fem,Nom
Die Erosion hat die Landschaft behauen,Landschaft,Fem,Acc
Der Äquator durchläuft die Stadt,Äquator,Masc,Nom
Der Äquator durchläuft die Stadt,Stadt,Fem,Acc
Auf Höhe der Tropen bricht die Nacht im Sommer früher ein,Höhe,Fem,Dat
Auf Höhe der Tropen bricht die Nacht im Sommer früher ein,Tropen,Masc,Gen
Auf Höhe der Tropen bricht die Nacht im Sommer früher ein,Nacht,Fem,Nom
Auf Höhe der Tropen bricht die Nacht im Sommer früher ein,Sommer,Masc,Dat
Die globale Erwärmung ist auf Höhe der Polen entscheidender,Erwärmung,Fem,Nom
Die globale Erwärmung ist auf Höhe der Polen entscheidender,Höhe,Fem,Dat
Die globale Erwärmung ist auf Höhe der Polen entscheidender,Polen,Masc,Gen
Die Koralle und die Quallen sind verschiedene Stadien des Zyklus' derselben Art,Koralle,Fem,Nom
Die Koralle und die Quallen sind verschiedene Stadien des Zyklus' derselben Art,Quallen,Fem,Nom
Die Koralle und die Quallen sind verschiedene Stadien des Zyklus' derselben Art,Stadien,Masc,Nom
Die Koralle und die Quallen sind verschiedene Stadien des Zyklus' derselben Art,Zyklus,Masc,Gen
Die Koralle und die Quallen sind verschiedene Stadien des Zyklus' derselben Art,Art,Fem,Gen
Der Wasserfall fällt ins Leere,Wasserfall,Masc,Nom
Der Wasserfall fällt ins Leere,Leere,Neut,Acc
"Sie haben es nicht geschafft im Wildwasser zu baden, das Wasser war zu eisig",Wildwasser,Neut,Dat
"Sie haben es nicht geschafft im Wildwasser zu baden, das Wasser war zu eisig",Wasser,Neut,Nom
Dieses Tal ist tief,Tal,Neut,Nom
Der Hirsch suchte im Wäldchen Zuflucht,Zuflucht,Neut,Dat
Das Schiff suchte in der Bucht Zuflucht,Schiff,Neut,Nom
Das Schiff suchte in der Bucht Zuflucht,Zuflucht,Fem,Nom
Die Strecke läuft in der Mitte der Dünen entlang,Strecke,Fem,Nom
Die Strecke läuft in der Mitte der Dünen entlang,Mitte,Fem,Dat
Der Golf von Mexiko ist ein warmer Punkt der Biodiversität,Golf,Masc,Nom
Der Golf von Mexiko ist ein warmer Punkt der Biodiversität,Punkt,Masc,Nom
Der Golf von Mexiko ist ein warmer Punkt der Biodiversität,Biodiversität,Fem,Gen
Die Lagune beherbergt zahlreiche Fischarten,Lagune,Fem,Nom
Die Lagune beherbergt zahlreiche Fischarten,Fischarten,Fem,Acc
Die Golfische schwimmen im Teich,Golfische,Fem,Nom
Die Golfische schwimmen im Teich,Teich,Masc,Dat
Die Bisonherden weiden auf der Wiese,Wiese,Fem,Dat
Die italienische Halbinsel ist Schauplatz gewalttätiger Auseinandersetzungen,Halbinsel,Fem,Nom
Die italienische Halbinsel ist Schauplatz gewalttätiger Auseinandersetzungen,Schauplatz,Masc,Nom
Die italienische Halbinsel ist Schauplatz gewalttätiger Auseinandersetzungen,Auseinandersetzungen,Fem,Gen
"Der Ball ist in die Schlucht gefallen, ich werde ihn nicht suchen",Ball,Masc,Nom
"Der Ball ist in die Schlucht gefallen, ich werde ihn nicht suchen",Schlucht,Fem,Acc
Der Sumpf war wegen des Sumpffiebers ausgetrocknet worden,Sumpf,Masc,Nom
Der Sumpf war wegen des Sumpffiebers ausgetrocknet worden,Sumpffiebers,Masc,Gen
Die Rinde dieses Baumes enthält medizinische Wirkstoffe,Rinde,Fem,Nom
Die Rinde dieses Baumes enthält medizinische Wirkstoffe,Baumes,Neut,Gen
Die Rinde dieses Baumes enthält medizinische Wirkstoffe,Wirkstoffe,Masc,Acc
Die Mondfinsternis wird nur von der Nordhalbkugel aus sichtbar sein,Mondfinsternis,Fem,Nom
Die Mondfinsternis wird nur von der Nordhalbkugel aus sichtbar sein,Nordhalbkugel,Fem,Dat
Der Meteor hat sich beim Eindringen in die Atmosphäre zerstört,Meteor,Masc,Nom
Der Meteor hat sich beim Eindringen in die Atmosphäre zerstört,Eindringen,Neut,Dat
Der Meteor hat sich beim Eindringen in die Atmosphäre zerstört,Atmosphäre,Fem,Acc
Der Satellit im Orbit um die Erde,Satellit,Masc,Nom
Der Satellit im Orbit um die Erde,Orbit,Neut,Dat
Der Satellit im Orbit um die Erde,Erde,Fem,Acc
Der Kompass zeigt Norden an,Norden,Masc,Acc
Man muss ein bisschen mehr in Richtung Süden gehen,Richtung,Fem,Acc
Man muss ein bisschen mehr in Richtung Süden gehen,Süden,Masc,Acc
Der Wald befindet sich 100 km östlich von der Stadt,Wald,Masc,Nom
Der Wald befindet sich 100 km östlich von der Stadt,km,Masc,Acc
Der Wald befindet sich 100 km östlich von der Stadt,Stadt,Fem,Dat
Frankreich liegt im Westen von Deutschland aus,Westen,Masc,Dat
Der Spätfrost hat die Obstbäume beschädigt,Spätfrost,Masc,Nom
Der Spätfrost hat die Obstbäume beschädigt,Obstbäume,Masc,Acc
Der Frost hat die Rohre platzen lassen,Frost,Masc,Nom
Der Frost hat die Rohre platzen lassen,Rohre,Neut,Acc
Ein Blitz durchzog den Himmel,Blitz,Masc,Nom
Ein Blitz durchzog den Himmel,Himmel,Masc,Acc
Der Donner grollt in der Ferne,Donner,Masc,Nom
Der Donner grollt in der Ferne,Ferne,Fem,Dat
Ein Regenbogen entstand nach dem Regen,Regenbogen,Masc,Nom
Ein Regenbogen entstand nach dem Regen,Regen,Masc,Dat
Der Nebel waberte über dem Fluss,Nebel,Masc,Nom
Der Nebel waberte über dem Fluss,Fluss,Neut,Dat
Der Tornado hat das Dach des Hauses mitgerissen,Tornado,Masc,Nom
Der Tornado hat das Dach des Hauses mitgerissen,Dach,Neut,Acc
Der Tornado hat das Dach des Hauses mitgerissen,Hauses,Neut,Gen
Tausende von alten Menschen sind wegen der Hitze gestorben,Tausende,Neut,Nom
Tausende von alten Menschen sind wegen der Hitze gestorben,Menschen,Masc,Dat
Tausende von alten Menschen sind wegen der Hitze gestorben,Hitze,Fem,Gen
Die Kinder machen Sandburgen,Kinder,Neut,Nom
Die Kinder machen Sandburgen,Sandburgen,Fem,Acc
Die Mündung ist die Einmündung eines Flusses,Mündung,Fem,Nom
Die Mündung ist die Einmündung eines Flusses,Einmündung,Fem,Nom
Die Mündung ist die Einmündung eines Flusses,Flusses,Masc,Gen
Das Grundwasser war durch die Düngemittel verschmutzt worden,Grundwasser,Neut,Nom
Das Grundwasser war durch die Düngemittel verschmutzt worden,Düngemittel,Neut,Acc
Eisbären findet man am Nordpol,Eisbären,Neut,Acc
Eisbären findet man am Nordpol,Nordpol,Neut,Dat
Am Südpol dauert die Polarnacht die Hälfte eines Jahres,Südpol,Neut,Dat
Am Südpol dauert die Polarnacht die Hälfte eines Jahres,Polarnacht,Fem,Nom
Am Südpol dauert die Polarnacht die Hälfte eines Jahres,Hälfte,Fem,Acc
Am Südpol dauert die Polarnacht die Hälfte eines Jahres,Jahres,Neut,Gen
Das westliche Modell findet keine Einstimmigkeit,Modell,Neut,Nom
Das westliche Modell findet keine Einstimmigkeit,Einstimmigkeit,Fem,Acc
Der orientalische Teil des Landes unterscheidet sich stark von seinem okzidentalen Teil,Teil,Masc,Nom
Der orientalische Teil des Landes unterscheidet sich stark von seinem okzidentalen Teil,Landes,Neut,Gen
Der orientalische Teil des Landes unterscheidet sich stark von seinem okzidentalen Teil,Teil,Masc,Dat
Die Nordsteppen erwärmen sich nach und nach,Nordsteppen,Fem,Nom
Der südliche Teil Frankreichs ist von der Trockenheit betroffen,Teil,Masc,Nom
Der südliche Teil Frankreichs ist von der Trockenheit betroffen,Trockenheit,Fem,Dat
Der Löwe ist der unangefochtene Herrscher der Savanne,Herrscher,Masc,Nom
Der Löwe ist der unangefochtene Herrscher der Savanne,Savanne,Fem,Gen
Es war nur eine einzige Ratte in der Küche,Ratte,Fem,Nom
Es war nur eine einzige Ratte in der Küche,Küche,Fem,Dat
Wir haben zwei Autos vorbeibrausen sehen,Autos,Neut,Acc
Sie haben drei Kinder bekommen,Kinder,Neut,Acc
Er hat neun Zehntel des Erbes,Zehntel,Neut,Acc
Er hat neun Zehntel des Erbes,Erbes,Neut,Gen
Wir haben zehn Minuten um diesen Bericht zu beenden,Minuten,Fem,Acc
Wir haben zehn Minuten um diesen Bericht zu beenden,Bericht,Masc,Acc
Der Zug fährt genau um Elf los,Zug,Masc,Nom
Er hatte zwölf von zwanzig in seiner letzten Hausaufgabe,Hausaufgabe,Fem,Dat
Die Ziffer Dreizehn wird oft als unglückbringend angesehen,Ziffer,Fem,Nom
Er hat gestern seinen vierzehnten Geburtstag gefeiert,Geburtstag,Masc,Acc
Es gibt mindestens fünfzehn Minuten Wartezeit,Minuten,Fem,Acc
Es gibt mindestens fünfzehn Minuten Wartezeit,Wartezeit,Fem,Nom
Bei sechzehn gegen fünfzehn konnte die gegnerische Mannschaft nicht gewinnen,Mannschaft,Fem,Nom
Das Kilo kostet siebzehn Euro,Kilo,Neut,Nom
Das Kilo kostet siebzehn Euro,Euro,Masc,Acc
Er ist gerade achtzehn Jahre alt geworden,Jahre,Neut,Acc
Um neunzehn Uhr dreißig schließt das Geschäft,Uhr,Fem,Acc
Um neunzehn Uhr dreißig schließt das Geschäft,Geschäft,Neut,Nom
Wer hat gesagt das zwanzig das schönste Alter des Lebens ist?,Alter,Neut,Nom
Wer hat gesagt das zwanzig das schönste Alter des Lebens ist?,Lebens,Neut,Gen
Er hatte einundzwanzig Frauen,Frauen,Fem,Acc
Er wird bald dreißig Jahre alt,Jahre,Neut,Acc
Vor vierzig Jahren hatte niemand einen Computer,Jahren,Neut,Dat
Vor vierzig Jahren hatte niemand einen Computer,Computer,Masc,Acc
Fünfzig Prozent der Bevölkerung ist für die Reform,Bevölkerung,Fem,Gen
Fünfzig Prozent der Bevölkerung ist für die Reform,Reform,Fem,Acc
Mit sechzig Jahren wird davon abgeraten Kinder zu bekommen,Jahren,Neut,Dat
Mit sechzig Jahren wird davon abgeraten Kinder zu bekommen,Kinder,Neut,Acc
Er ist ein bisschen mehr als siebzig Jahre alt,bisschen,Masc,Nom
Er ist ein bisschen mehr als siebzig Jahre alt,Jahre,Neut,Acc
Er hat nur neunzig Prozent der Arbeit gemacht,Arbeit,Fem,Gen
Ein Jahrhundert entspricht hundert Jahren,Jahrhundert,Neut,Nom
Ein Jahrhundert entspricht hundert Jahren,Jahren,Neut,Dat
Zweitausend Personen haben gegen die Bildungsreform demonstriert,Personen,Fem,Nom
Zweitausend Personen haben gegen die Bildungsreform demonstriert,Bildungsreform,Fem,Acc
Eine Million Euro wurden unterschlagen,Million,Fem,Nom
Eine Million Euro wurden unterschlagen,Euro,Masc,Nom
Die Weltbevölkerung hat die sieben Milliarden Einwohner überschritten,Weltbevölkerung,Fem,Nom
Die Weltbevölkerung hat die sieben Milliarden Einwohner überschritten,Milliarden,Fem,Acc
Die Weltbevölkerung hat die sieben Milliarden Einwohner überschritten,Einwohner,Masc,Nom
"Das ist das erste Mal, dass er kommt",Mal,Neut,Nom
Das ist seine zweite Frau,Frau,Fem,Nom
Wir gehen zum dritten Mal nach Asien,Mal,Neut,Dat
Man muss an der vierten Straße nach links abbiegen,Straße,Fem,Dat
Er ist in den fünften Gang gegangen,Gang,Masc,Acc
Das ist ihre sechste Tochter,Tochter,Fem,Nom
Er ist auf den siebten Platz in diesem Rennen gekommen,Platz,Masc,Acc
Er ist auf den siebten Platz in diesem Rennen gekommen,Rennen,Neut,Dat
Er ist der achte seiner Klasse,achte,Fem,Dat
Er ist der achte seiner Klasse,Klasse,Fem,Gen
Er öffnet gerade die neunte Flasche Wein des Abends,Flasche,Fem,Acc
Er öffnet gerade die neunte Flasche Wein des Abends,Wein,Masc,Nom
Er öffnet gerade die neunte Flasche Wein des Abends,Abends,Masc,Gen
"Das ist der zehnte Arzt, den er konsultieren wird",Arzt,Masc,Nom
Er wurde zwanzigster von fünfzig Studenten in seinem Jahrgang,Studenten,Masc,Dat
Er wurde zwanzigster von fünfzig Studenten in seinem Jahrgang,Jahrgang,Masc,Dat
"Das ist das hundertste Mal, dass ich das für dich wiederhole",Mal,Neut,Nom
Es gab tausende von Demonstranten,tausende,Neut,Acc
Es gab tausende von Demonstranten,Demonstranten,Masc,Dat
Etwa zehn Journalisten sind als Geisel genommen worden,Journalisten,Masc,Nom
Etwa zehn Journalisten sind als Geisel genommen worden,Geisel,Fem,Nom
Ich habe ein Dutzend Eier beim Lebensmittelhändler gekauft,Dutzend,Neut,Acc
Ich habe ein Dutzend Eier beim Lebensmittelhändler gekauft,Eier,Neut,Nom
Ich habe ein Dutzend Eier beim Lebensmittelhändler gekauft,Lebensmittelhändler,Masc,Dat
Es gab nur ungefähr hundert Demonstranten,Demonstranten,Masc,Acc
Er hat ein Paar Handschuhe gekauft,Paar,Neut,Acc
Er hat ein Paar Handschuhe gekauft,Handschuhe,Fem,Nom
Die Null war von den Arabern erfunden worden,Arabern,Masc,Dat
Gib mir ein Glas Wasser!,Gib,Neut,Nom
Gib mir ein Glas Wasser!,Glas,Neut,Acc
Gib mir ein Glas Wasser!,Wasser,Neut,Nom
Willst du eine Tasse Kaffee?,Tasse,Neut,Acc
Willst du eine Tasse Kaffee?,Kaffee,Masc,Acc
"Ich vergesse jedes Mal, wo die Kasserollen hingeräumt werden sollen",Mal,Neut,Acc
"Ich vergesse jedes Mal, wo die Kasserollen hingeräumt werden sollen",Kasserollen,Masc,Nom
"Ich schwanke dazwischen, die Zwiebeln in der Pfanne oder in der Kasserolle zu machen",Zwiebeln,Fem,Acc
"Ich schwanke dazwischen, die Zwiebeln in der Pfanne oder in der Kasserolle zu machen",Pfanne,Fem,Dat
"Ich schwanke dazwischen, die Zwiebeln in der Pfanne oder in der Kasserolle zu machen",Kasserolle,Fem,Dat
Tu die Teller zum Trocknen in den Geschirrbehälter,Teller,Masc,Nom
Tu die Teller zum Trocknen in den Geschirrbehälter,Trocknen,Neut,Dat
Tu die Teller zum Trocknen in den Geschirrbehälter,Geschirrbehälter,Masc,Acc
"Es gibt ein Gitter über dem Fenster, um die Räuber abzuhalten",Gitter,Neut,Acc
"Es gibt ein Gitter über dem Fenster, um die Räuber abzuhalten",Fenster,Neut,Dat
"Es gibt ein Gitter über dem Fenster, um die Räuber abzuhalten",Räuber,Masc,Acc
Er breitet den Teig mit einer Rolle aus,Teig,Masc,Acc
Er breitet den Teig mit einer Rolle aus,Rolle,Fem,Dat
Man muss den Gips mit einem Spachtel ausbreiten,Gips,Masc,Acc
Man muss den Gips mit einem Spachtel ausbreiten,Spachtel,Neut,Dat
Würdest du bitte einmal mit dem Schwamm über den Tisch wischen?,Schwamm,Neut,Dat
Würdest du bitte einmal mit dem Schwamm über den Tisch wischen?,Tisch,Masc,Acc
"Wisch ein Mal mit dem Lappen über den Tisch, nachdem du mit dem Schwamm drüber gegangen bist",Mal,Neut,Acc
"Wisch ein Mal mit dem Lappen über den Tisch, nachdem du mit dem Schwamm drüber gegangen bist",Lappen,Neut,Dat
"Wisch ein Mal mit dem Lappen über den Tisch, nachdem du mit dem Schwamm drüber gegangen bist",Tisch,Masc,Acc
"Wisch ein Mal mit dem Lappen über den Tisch, nachdem du mit dem Schwamm drüber gegangen bist",Schwamm,Neut,Dat
"Du hast vergessen, Besteck hinzulegen",Besteck,Neut,Acc
Die Tischdecke ist mit Weinflecken befleckt,Tischdecke,Fem,Nom
Die Tischdecke ist mit Weinflecken befleckt,Weinflecken,Neut,Dat
Wärm das in der Mirkowelle auf,Mirkowelle,Fem,Dat
Hör auf mit den Streichhölzern zu spielen,Hör,Fem,Nom
Hör auf mit den Streichhölzern zu spielen,Streichhölzern,Neut,Dat
Die Kaffeemaschine ist leer,Kaffeemaschine,Fem,Nom
Normalerweise serviert sie den Tee in einer Teekanne aus Porzellan,Tee,Masc,Acc
Normalerweise serviert sie den Tee in einer Teekanne aus Porzellan,Teekanne,Fem,Dat
Normalerweise serviert sie den Tee in einer Teekanne aus Porzellan,Porzellan,Neut,Dat
Das Baby spielt mit dem Mixer,Baby,Neut,Nom
Das Baby spielt mit dem Mixer,Mixer,Masc,Dat
Nimm den Korkenzieher um die Flasche zu öffnen,Korkenzieher,Masc,Acc
Nimm den Korkenzieher um die Flasche zu öffnen,Flasche,Fem,Acc
Ich bräuchte einen Flaschenöffner um die Bierflasche zu öffnen,Flaschenöffner,Masc,Acc
Ich bräuchte einen Flaschenöffner um die Bierflasche zu öffnen,Bierflasche,Masc,Acc
Ich hätte gerne eine Flasche fruchtigen Rotwein,Flasche,Fem,Acc
Ich hätte gerne eine Flasche fruchtigen Rotwein,Rotwein,Masc,Acc
Tu die Marmelade in einen Topf,Marmelade,Neut,Acc
Tu die Marmelade in einen Topf,Topf,Masc,Acc
"Du hast vergessen, die Servietten auf den Tisch zu tun",Servietten,Fem,Acc
"Du hast vergessen, die Servietten auf den Tisch zu tun",Tisch,Masc,Acc
Tu eine Schicht Kunststoff-Folie auf den Teller bevor du ihn in den Kühlschrank tust,Schicht,Fem,Nom
Tu eine Schicht Kunststoff-Folie auf den Teller bevor du ihn in den Kühlschrank tust,Kunststoff-Folie,Fem,Nom
Tu eine Schicht Kunststoff-Folie auf den Teller bevor du ihn in den Kühlschrank tust,Teller,Masc,Acc
Tu eine Schicht Kunststoff-Folie auf den Teller bevor du ihn in den Kühlschrank tust,Kühlschrank,Masc,Acc
Ich suche meine Haarbürste,Haarbürste,Fem,Acc
Füll die Gießkanne und geh die Pflanzen gießen,Füll,Masc,Nom
Füll die Gießkanne und geh die Pflanzen gießen,Gießkanne,Masc,Acc
Füll die Gießkanne und geh die Pflanzen gießen,Pflanzen,Fem,Acc
Er braucht eine Gartenschere um die Gartenarbeit zu machen,Gartenschere,Fem,Acc
Er braucht eine Gartenschere um die Gartenarbeit zu machen,Gartenarbeit,Fem,Acc
Er geht mit dem Rasenmäher drüber,Rasenmäher,Masc,Dat
Es bräuchte eine Schubkarre um Erde zu transportieren,Schubkarre,Fem,Nom
Es bräuchte eine Schubkarre um Erde zu transportieren,Erde,Fem,Acc
Kannst du mir eine Zahnbürste leihen?,Zahnbürste,Fem,Acc
Geh ein Mal mit dem Kamm über deine Haare bevor du rausgehst,Mal,Neut,Acc
Geh ein Mal mit dem Kamm über deine Haare bevor du rausgehst,Kamm,Neut,Dat
Geh ein Mal mit dem Kamm über deine Haare bevor du rausgehst,Haare,Neut,Acc
Wer hat die Tür der Gefrierschranks offen gelassen?,Tür,Fem,Acc
Wer hat die Tür der Gefrierschranks offen gelassen?,Gefrierschranks,Fem,Gen
"Ich kann die Leiter hin raufsteigen, die Sprossen sind gebrochen",Leiter,Masc,Acc
"Ich kann die Leiter hin raufsteigen, die Sprossen sind gebrochen",Sprossen,Fem,Nom
"Der Drucker ist defekt, wie immer",Drucker,Masc,Nom
Häng deine Jacke bitte an den Garderobenhaken,Jacke,Fem,Acc
Häng deine Jacke bitte an den Garderobenhaken,Garderobenhaken,Fem,Dat
Du kannst deine Jacke an die Garderobe hängen,Jacke,Fem,Acc
Du kannst deine Jacke an die Garderobe hängen,Garderobe,Fem,Acc
Der Wasserfilter ist verstopft,Wasserfilter,Masc,Nom
Es müssen wieder Kaffeefilter gekauft werden,Kaffeefilter,Masc,Nom
Die nichtbezahlten Rechnungen stapeln sich auf seinem Schreibtisch,Rechnungen,Fem,Nom
Die nichtbezahlten Rechnungen stapeln sich auf seinem Schreibtisch,Schreibtisch,Masc,Dat
Tu das in den Wagen anstatt es in der Hand zu tragen,Wagen,Masc,Acc
Tu das in den Wagen anstatt es in der Hand zu tragen,Hand,Fem,Dat
Sie hat einen Korb mitgenommen um die Einkäufe zu machen,Korb,Masc,Acc
Sie hat einen Korb mitgenommen um die Einkäufe zu machen,Einkäufe,Masc,Acc
Es fehlt mit ein Stempel auf meinem Reisepass und ich bin frei,Stempel,Fem,Dat
Er hat immer heißes Wasser in seiner Thermosflasche,Wasser,Neut,Acc
Er hat immer heißes Wasser in seiner Thermosflasche,Thermosflasche,Fem,Dat
Man darf niemals Harken auf dem Boden herumliegen lassen,Harken,Masc,Acc
Man darf niemals Harken auf dem Boden herumliegen lassen,Boden,Masc,Dat
Die Schaufel ist praktischer als der Spaten um ein Loch zu graben,Schaufel,Fem,Nom
Die Schaufel ist praktischer als der Spaten um ein Loch zu graben,Spaten,Masc,Nom
Die Schaufel ist praktischer als der Spaten um ein Loch zu graben,Loch,Neut,Acc
In diesem Land recycelt man keine elektrischen Batterien,Land,Neut,Dat
In diesem Land recycelt man keine elektrischen Batterien,Batterien,Fem,Acc
Tu ein Vorhängeschloss an dein Fach bevor du gehst,Vorhängeschloss,Masc,Nom
Tu ein Vorhängeschloss an dein Fach bevor du gehst,Fach,Neut,Acc
"Der Ventilator macht zu viel Lärm, schalt ihn aus",Ventilator,Masc,Nom
"Der Ventilator macht zu viel Lärm, schalt ihn aus",Lärm,Masc,Dat
Kaffee aus der Kaffeemaschine ist schrecklich,Kaffee,Masc,Acc
Kaffee aus der Kaffeemaschine ist schrecklich,Kaffeemaschine,Fem,Dat
Ihr wurde auf der Straße die Handtasche geklaut,Straße,Fem,Dat
Ihr wurde auf der Straße die Handtasche geklaut,Handtasche,Fem,Nom
Mir reicht eine Schüssel Müsli zum Frühstück,Schüssel,Fem,Nom
Mir reicht eine Schüssel Müsli zum Frühstück,Frühstück,Neut,Dat
Die Aluminiumdosen werden hier recycelt,Aluminiumdosen,Masc,Nom
Die Glocken schlagen am Mittag,Glocken,Fem,Nom
Die Glocken schlagen am Mittag,Mittag,Masc,Dat
Er hat das Etikett vom Pullover abgemacht,Etikett,Neut,Acc
Er hat das Etikett vom Pullover abgemacht,Pullover,Masc,Dat
Eine Kette verhindert das Portal zu öffnen,Kette,Fem,Nom
Eine Kette verhindert das Portal zu öffnen,Portal,Neut,Acc
Man wiegt sich auf einer Waage,Waage,Fem,Dat
Pappe ist recycelbar,Pappe,Fem,Nom
Ich benutze Plastiktüten als Müll,Plastiktüten,Fem,Acc
Ich benutze Plastiktüten als Müll,Müll,Masc,Nom
Die Aspirindose ist leer,Aspirindose,Fem,Nom
Die Fernbedienung ist wieder verschwunden,Fernbedienung,Fem,Nom
Dieser lokale Sender hat schlechte Qualität,Sender,Masc,Nom
Dieser lokale Sender hat schlechte Qualität,Qualität,Fem,Acc
"Ich schaffe es immernoch nicht, mich an die AZERTY-Tastatur anzupassen",AZERTY-Tastatur,Fem,Acc
Man muss auf diesen Button klicken,Button,Masc,Acc
Er hat Wachs auf sein Parkett getan,Wachs,Masc,Acc
Er hat Wachs auf sein Parkett getan,Parkett,Neut,Acc
Slogans sind auf Plakaten geschrieben,Slogans,Masc,Nom
Slogans sind auf Plakaten geschrieben,Plakaten,Neut,Dat
Sie findet ihr Brillenetui nicht wieder,Brillenetui,Neut,Acc
Willst du ein Gummiband um deine Haare zusammenzubinden?,Gummiband,Neut,Acc
Willst du ein Gummiband um deine Haare zusammenzubinden?,Haare,Neut,Acc
Du kannst ein Stück Tesafilm drauftun um das Blatt zu benutzen,Stück,Neut,Acc
Du kannst ein Stück Tesafilm drauftun um das Blatt zu benutzen,Tesafilm,Masc,Nom
Du kannst ein Stück Tesafilm drauftun um das Blatt zu benutzen,Blatt,Neut,Acc
IKEA-Möbelstücke sind billig,IKEA-Möbelstücke,Masc,Nom
Er hat tausende Euro ausgegeben um neues Mobiliar zu kaufen,Euro,Fem,Acc
Er hat tausende Euro ausgegeben um neues Mobiliar zu kaufen,Mobiliar,Neut,Acc
Er schreibt noch mit einer Schreibmaschine,Schreibmaschine,Fem,Dat
Er teilt das Holz mit der Axt,Holz,Neut,Acc
Er teilt das Holz mit der Axt,Axt,Fem,Dat
Diese Säge sägt nicht sehr gut,Säge,Fem,Nom
Eine einfache Zange würde reichen um diese Kette zu zerschneiden,Zange,Masc,Nom
Eine einfache Zange würde reichen um diese Kette zu zerschneiden,Kette,Fem,Acc
