Sentence,Question,Options,Correct Answer
They are a family of very wealthy industrialists.,Is the word 'family' a noun or a pronoun?,"Noun, Pronoun",Noun
They are a family of very wealthy industrialists.,Is the word 'industrialists' a noun or a pronoun?,"Noun, Pronoun",Noun
The business man looked as if he was in a hurry.,Is the word 'business' a noun or a pronoun?,"Noun, Pronoun",Noun
The business man looked as if he was in a hurry.,Is the word 'man' a noun or a pronoun?,"Noun, Pronoun",Noun
The business man looked as if he was in a hurry.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The business man looked as if he was in a hurry.,Is the word 'hurry' a noun or a pronoun?,"Noun, Pronoun",Noun
The diplomats are looking for a peaceful solution.,Is the word 'diplomats' a noun or a pronoun?,"Noun, Pronoun",Noun
The diplomats are looking for a peaceful solution.,Is the word 'solution' a noun or a pronoun?,"Noun, Pronoun",Noun
The ambassador has been repatriated because of the attack of the embassy.,Is the word 'ambassador' a noun or a pronoun?,"Noun, Pronoun",Noun
The ambassador has been repatriated because of the attack of the embassy.,Is the word 'attack' a noun or a pronoun?,"Noun, Pronoun",Noun
The ambassador has been repatriated because of the attack of the embassy.,Is the word 'embassy' a noun or a pronoun?,"Noun, Pronoun",Noun
The grocer closed down last month.,Is the word 'grocer' a noun or a pronoun?,"Noun, Pronoun",Noun
The grocer closed down last month.,Is the word 'month' a noun or a pronoun?,"Noun, Pronoun",Noun
The delivery man came by this morning.,Is the word 'delivery' a noun or a pronoun?,"Noun, Pronoun",Noun
The delivery man came by this morning.,Is the word 'man' a noun or a pronoun?,"Noun, Pronoun",Noun
The delivery man came by this morning.,Is the word 'morning' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to watch the rugby match tonight.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I am going to watch the rugby match tonight.,Is the word 'rugby' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to watch the rugby match tonight.,Is the word 'match' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to watch the rugby match tonight.,Is the word 'tonight' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you know the rules of baseball ?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do you know the rules of baseball ?,Is the word 'rules' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you know the rules of baseball ?,Is the word 'baseball' a noun or a pronoun?,"Noun, Pronoun",Noun
Indian people have a passion for cricket.,Is the word 'people' a noun or a pronoun?,"Noun, Pronoun",Noun
Indian people have a passion for cricket.,Is the word 'passion' a noun or a pronoun?,"Noun, Pronoun",Noun
Indian people have a passion for cricket.,Is the word 'cricket' a noun or a pronoun?,"Noun, Pronoun",Noun
We are going to meet in a bar.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We are going to meet in a bar.,Is the word 'bar' a noun or a pronoun?,"Noun, Pronoun",Noun
"We are going to a nightclub on Saturday, do you want to come along ?",Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"We are going to a nightclub on Saturday, do you want to come along ?",Is the word 'nightclub' a noun or a pronoun?,"Noun, Pronoun",Noun
"We are going to a nightclub on Saturday, do you want to come along ?",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Would you like to go to dance ?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Would you like to go to dance ?,Is the word 'dance' a noun or a pronoun?,"Noun, Pronoun",Noun
You cannot drink so much alcohol if you are driving.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You cannot drink so much alcohol if you are driving.,Is the word 'alcohol' a noun or a pronoun?,"Noun, Pronoun",Noun
You cannot drink so much alcohol if you are driving.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She was charmed by his accent.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She was charmed by his accent.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She was charmed by his accent.,Is the word 'accent' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to the beach tomorrow.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I am going to the beach tomorrow.,Is the word 'beach' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to the beach tomorrow.,Is the word 'tomorrow' a noun or a pronoun?,"Noun, Pronoun",Noun
Could you put some sunscreen on me?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Could you put some sunscreen on me?,Is the word 'sunscreen' a noun or a pronoun?,"Noun, Pronoun",Noun
Could you put some sunscreen on me?,Is the word 'me' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I am going to ski next winter.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I am going to ski next winter.,Is the word 'winter' a noun or a pronoun?,"Noun, Pronoun",Noun
The parasol protects me from the sun.,Is the word 'parasol' a noun or a pronoun?,"Noun, Pronoun",Noun
The parasol protects me from the sun.,Is the word 'me' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The parasol protects me from the sun.,Is the word 'sun' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you want to go shopping ?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do you want to go shopping ?,Is the word 'shopping' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to do some shopping for the sales tomorrow.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I am going to do some shopping for the sales tomorrow.,Is the word 'shopping' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to do some shopping for the sales tomorrow.,Is the word 'sales' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to do some shopping for the sales tomorrow.,Is the word 'tomorrow' a noun or a pronoun?,"Noun, Pronoun",Noun
Are we going out tonight ?,Is the word 'we' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Are we going out tonight ?,Is the word 'tonight' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to try not to fall from the windsurfing board this time.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I am going to try not to fall from the windsurfing board this time.,Is the word 'windsurfing' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to try not to fall from the windsurfing board this time.,Is the word 'board' a noun or a pronoun?,"Noun, Pronoun",Noun
I am going to try not to fall from the windsurfing board this time.,Is the word 'time' a noun or a pronoun?,"Noun, Pronoun",Noun
The little kid is playing with his kite.,Is the word 'kid' a noun or a pronoun?,"Noun, Pronoun",Noun
The little kid is playing with his kite.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The little kid is playing with his kite.,Is the word 'kite' a noun or a pronoun?,"Noun, Pronoun",Noun
There is a surfing spot five kilometers from here.,Is the word 'There' a noun or a pronoun?,"Noun, Pronoun",Pronoun
There is a surfing spot five kilometers from here.,Is the word 'surfing' a noun or a pronoun?,"Noun, Pronoun",Noun
There is a surfing spot five kilometers from here.,Is the word 'spot' a noun or a pronoun?,"Noun, Pronoun",Noun
There is a surfing spot five kilometers from here.,Is the word 'kilometers' a noun or a pronoun?,"Noun, Pronoun",Noun
The surfer fell off his surfboard.,Is the word 'surfer' a noun or a pronoun?,"Noun, Pronoun",Noun
The surfer fell off his surfboard.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The surfer fell off his surfboard.,Is the word 'surfboard' a noun or a pronoun?,"Noun, Pronoun",Noun
He is a very good skier.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is a very good skier.,Is the word 'skier' a noun or a pronoun?,"Noun, Pronoun",Noun
They learnt juggling at school.,Is the word 'They' a noun or a pronoun?,"Noun, Pronoun",Pronoun
They learnt juggling at school.,Is the word 'school' a noun or a pronoun?,"Noun, Pronoun",Noun
We would like to learn how to juggle.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He plays tennis on Sundays on a private tennis court.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He plays tennis on Sundays on a private tennis court.,Is the word 'tennis' a noun or a pronoun?,"Noun, Pronoun",Noun
He plays tennis on Sundays on a private tennis court.,Is the word 'Sundays' a noun or a pronoun?,"Noun, Pronoun",Noun
He plays tennis on Sundays on a private tennis court.,Is the word 'tennis' a noun or a pronoun?,"Noun, Pronoun",Noun
He plays tennis on Sundays on a private tennis court.,Is the word 'court' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you have any music on your computer.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do you have any music on your computer.,Is the word 'music' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you have any music on your computer.,Is the word 'your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do you have any music on your computer.,Is the word 'computer' a noun or a pronoun?,"Noun, Pronoun",Noun
He plays the piano with a private teacher.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He plays the piano with a private teacher.,Is the word 'piano' a noun or a pronoun?,"Noun, Pronoun",Noun
He plays the piano with a private teacher.,Is the word 'teacher' a noun or a pronoun?,"Noun, Pronoun",Noun
We are learning how to play the guitar.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We are learning how to play the guitar.,Is the word 'guitar' a noun or a pronoun?,"Noun, Pronoun",Noun
Their violins are badly tuned.,Is the word 'Their' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Their violins are badly tuned.,Is the word 'violins' a noun or a pronoun?,"Noun, Pronoun",Noun
He had to stop playing percussion instruments because of the neighboors.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He had to stop playing percussion instruments because of the neighboors.,Is the word 'percussion' a noun or a pronoun?,"Noun, Pronoun",Noun
He had to stop playing percussion instruments because of the neighboors.,Is the word 'instruments' a noun or a pronoun?,"Noun, Pronoun",Noun
He had to stop playing percussion instruments because of the neighboors.,Is the word 'neighboors' a noun or a pronoun?,"Noun, Pronoun",Noun
They are playing the trumpet together on Fridays.,Is the word 'They' a noun or a pronoun?,"Noun, Pronoun",Pronoun
They are playing the trumpet together on Fridays.,Is the word 'trumpet' a noun or a pronoun?,"Noun, Pronoun",Noun
They practice saxophone on Tuesdays.,Is the word 'They' a noun or a pronoun?,"Noun, Pronoun",Pronoun
They practice saxophone on Tuesdays.,Is the word 'saxophone' a noun or a pronoun?,"Noun, Pronoun",Noun
She has been playing the flute since she was a little girl.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has been playing the flute since she was a little girl.,Is the word 'flute' a noun or a pronoun?,"Noun, Pronoun",Noun
She has been playing the flute since she was a little girl.,Is the word 'she' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has been playing the flute since she was a little girl.,Is the word 'girl' a noun or a pronoun?,"Noun, Pronoun",Noun
They went hiking two hours ago.,Is the word 'They' a noun or a pronoun?,"Noun, Pronoun",Pronoun
They went hiking two hours ago.,Is the word 'hours' a noun or a pronoun?,"Noun, Pronoun",Noun
Athletics championships will take place in Berlin.,Is the word 'championships' a noun or a pronoun?,"Noun, Pronoun",Noun
Athletics championships will take place in Berlin.,Is the word 'place' a noun or a pronoun?,"Noun, Pronoun",Noun
Soccer is almost a religion in this country.,Is the word 'Soccer' a noun or a pronoun?,"Noun, Pronoun",Noun
Soccer is almost a religion in this country.,Is the word 'religion' a noun or a pronoun?,"Noun, Pronoun",Noun
Soccer is almost a religion in this country.,Is the word 'country' a noun or a pronoun?,"Noun, Pronoun",Noun
You cannot touch the ball with your foot in handball.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You cannot touch the ball with your foot in handball.,Is the word 'ball' a noun or a pronoun?,"Noun, Pronoun",Noun
You cannot touch the ball with your foot in handball.,Is the word 'your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You cannot touch the ball with your foot in handball.,Is the word 'foot' a noun or a pronoun?,"Noun, Pronoun",Noun
You cannot touch the ball with your foot in handball.,Is the word 'handball' a noun or a pronoun?,"Noun, Pronoun",Noun
"He is tall, he should play basketball.",Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"He is tall, he should play basketball.",Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"He is tall, he should play basketball.",Is the word 'basketball' a noun or a pronoun?,"Noun, Pronoun",Noun
"The ball fell down into the ravine, I am not going to retrieve it.",Is the word 'ball' a noun or a pronoun?,"Noun, Pronoun",Noun
"The ball fell down into the ravine, I am not going to retrieve it.",Is the word 'ravine' a noun or a pronoun?,"Noun, Pronoun",Noun
"The ball fell down into the ravine, I am not going to retrieve it.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"The ball fell down into the ravine, I am not going to retrieve it.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
They go fishing on Sundays.,Is the word 'They' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Horse-riding is not exclusively a female sport.,Is the word 'Horse' a noun or a pronoun?,"Noun, Pronoun",Noun
Horse-riding is not exclusively a female sport.,Is the word 'riding' a noun or a pronoun?,"Noun, Pronoun",Noun
Horse-riding is not exclusively a female sport.,Is the word 'sport' a noun or a pronoun?,"Noun, Pronoun",Noun
They are taking drawing classes together.,Is the word 'They' a noun or a pronoun?,"Noun, Pronoun",Pronoun
They are taking drawing classes together.,Is the word 'drawing' a noun or a pronoun?,"Noun, Pronoun",Noun
They are taking drawing classes together.,Is the word 'classes' a noun or a pronoun?,"Noun, Pronoun",Noun
He learns photography in a specialized school.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He learns photography in a specialized school.,Is the word 'photography' a noun or a pronoun?,"Noun, Pronoun",Noun
He learns photography in a specialized school.,Is the word 'school' a noun or a pronoun?,"Noun, Pronoun",Noun
I forgot to take my camera.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I forgot to take my camera.,Is the word 'my' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I forgot to take my camera.,Is the word 'camera' a noun or a pronoun?,"Noun, Pronoun",Noun
How did you find the walk ?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
How did you find the walk ?,Is the word 'walk' a noun or a pronoun?,"Noun, Pronoun",Noun
We would like to go camping in the wild.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We would like to go camping in the wild.,Is the word 'camping' a noun or a pronoun?,"Noun, Pronoun",Noun
We would like to go camping in the wild.,Is the word 'wild' a noun or a pronoun?,"Noun, Pronoun",Noun
We would better pitch the tent before night falls.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We would better pitch the tent before night falls.,Is the word 'tent' a noun or a pronoun?,"Noun, Pronoun",Noun
We would better pitch the tent before night falls.,Is the word 'night' a noun or a pronoun?,"Noun, Pronoun",Noun
"Despite the sleeping bags, we were very cold last night.",Is the word 'bags' a noun or a pronoun?,"Noun, Pronoun",Noun
"Despite the sleeping bags, we were very cold last night.",Is the word 'we' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Despite the sleeping bags, we were very cold last night.",Is the word 'night' a noun or a pronoun?,"Noun, Pronoun",Noun
We are going to sleep in a refuge tonight.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We are going to sleep in a refuge tonight.,Is the word 'refuge' a noun or a pronoun?,"Noun, Pronoun",Noun
We are going to sleep in a refuge tonight.,Is the word 'tonight' a noun or a pronoun?,"Noun, Pronoun",Noun
He listens to the radio every morning when he has his breakfast.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He listens to the radio every morning when he has his breakfast.,Is the word 'radio' a noun or a pronoun?,"Noun, Pronoun",Noun
He listens to the radio every morning when he has his breakfast.,Is the word 'morning' a noun or a pronoun?,"Noun, Pronoun",Noun
He listens to the radio every morning when he has his breakfast.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He listens to the radio every morning when he has his breakfast.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He listens to the radio every morning when he has his breakfast.,Is the word 'breakfast' a noun or a pronoun?,"Noun, Pronoun",Noun
He is painting from time to time.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is painting from time to time.,Is the word 'time' a noun or a pronoun?,"Noun, Pronoun",Noun
He is painting from time to time.,Is the word 'time' a noun or a pronoun?,"Noun, Pronoun",Noun
He paints on a canvas.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He paints on a canvas.,Is the word 'canvas' a noun or a pronoun?,"Noun, Pronoun",Noun
Can you sharpen this pencil ?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Can you sharpen this pencil ?,Is the word 'pencil' a noun or a pronoun?,"Noun, Pronoun",Noun
The little boy colors the walls with his felt-tip pen.,Is the word 'boy' a noun or a pronoun?,"Noun, Pronoun",Noun
The little boy colors the walls with his felt-tip pen.,Is the word 'walls' a noun or a pronoun?,"Noun, Pronoun",Noun
The little boy colors the walls with his felt-tip pen.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The little boy colors the walls with his felt-tip pen.,Is the word 'tip' a noun or a pronoun?,"Noun, Pronoun",Noun
The little boy colors the walls with his felt-tip pen.,Is the word 'pen' a noun or a pronoun?,"Noun, Pronoun",Noun
You have to dip the brushes in the water after using them.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You have to dip the brushes in the water after using them.,Is the word 'brushes' a noun or a pronoun?,"Noun, Pronoun",Noun
You have to dip the brushes in the water after using them.,Is the word 'water' a noun or a pronoun?,"Noun, Pronoun",Noun
You have to dip the brushes in the water after using them.,Is the word 'them' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I would need binoculars to be able to recognize this bird.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I would need binoculars to be able to recognize this bird.,Is the word 'binoculars' a noun or a pronoun?,"Noun, Pronoun",Noun
I would need binoculars to be able to recognize this bird.,Is the word 'bird' a noun or a pronoun?,"Noun, Pronoun",Noun
Your son is examining insects through a magnifying glass.,Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your son is examining insects through a magnifying glass.,Is the word 'son' a noun or a pronoun?,"Noun, Pronoun",Noun
Your son is examining insects through a magnifying glass.,Is the word 'insects' a noun or a pronoun?,"Noun, Pronoun",Noun
Your son is examining insects through a magnifying glass.,Is the word 'glass' a noun or a pronoun?,"Noun, Pronoun",Noun
Children constantly make up new games.,Is the word 'Children' a noun or a pronoun?,"Noun, Pronoun",Noun
Children constantly make up new games.,Is the word 'games' a noun or a pronoun?,"Noun, Pronoun",Noun
The children spent the afternoon playing board games.,Is the word 'children' a noun or a pronoun?,"Noun, Pronoun",Noun
The children spent the afternoon playing board games.,Is the word 'afternoon' a noun or a pronoun?,"Noun, Pronoun",Noun
The children spent the afternoon playing board games.,Is the word 'playing' a noun or a pronoun?,"Noun, Pronoun",Noun
The children spent the afternoon playing board games.,Is the word 'board' a noun or a pronoun?,"Noun, Pronoun",Noun
The children spent the afternoon playing board games.,Is the word 'games' a noun or a pronoun?,"Noun, Pronoun",Noun
He prefers team sports to individual sports.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He prefers team sports to individual sports.,Is the word 'team' a noun or a pronoun?,"Noun, Pronoun",Noun
He prefers team sports to individual sports.,Is the word 'sports' a noun or a pronoun?,"Noun, Pronoun",Noun
He prefers team sports to individual sports.,Is the word 'sports' a noun or a pronoun?,"Noun, Pronoun",Noun
This painting dates back to the Renaissance.,Is the word 'painting' a noun or a pronoun?,"Noun, Pronoun",Noun
This painter has sold a lot of paintings.,Is the word 'painter' a noun or a pronoun?,"Noun, Pronoun",Noun
This painter has sold a lot of paintings.,Is the word 'lot' a noun or a pronoun?,"Noun, Pronoun",Noun
This painter has sold a lot of paintings.,Is the word 'paintings' a noun or a pronoun?,"Noun, Pronoun",Noun
He is very sporty,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has to get the strings of this racket repaired.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has to get the strings of this racket repaired.,Is the word 'strings' a noun or a pronoun?,"Noun, Pronoun",Noun
He has to get the strings of this racket repaired.,Is the word 'racket' a noun or a pronoun?,"Noun, Pronoun",Noun
I have put sandals beacuse it was too hot.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I have put sandals beacuse it was too hot.,Is the word 'sandals' a noun or a pronoun?,"Noun, Pronoun",Noun
I have put sandals beacuse it was too hot.,Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The compass points North.,Is the word 'compass' a noun or a pronoun?,"Noun, Pronoun",Noun
We took some ropes to go rock climbing.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We took some ropes to go rock climbing.,Is the word 'ropes' a noun or a pronoun?,"Noun, Pronoun",Noun
We took some ropes to go rock climbing.,Is the word 'rock' a noun or a pronoun?,"Noun, Pronoun",Noun
We took some ropes to go rock climbing.,Is the word 'climbing' a noun or a pronoun?,"Noun, Pronoun",Noun
You should always have a roll of toilet paper with you when you travel.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You should always have a roll of toilet paper with you when you travel.,Is the word 'roll' a noun or a pronoun?,"Noun, Pronoun",Noun
You should always have a roll of toilet paper with you when you travel.,Is the word 'toilet' a noun or a pronoun?,"Noun, Pronoun",Noun
You should always have a roll of toilet paper with you when you travel.,Is the word 'paper' a noun or a pronoun?,"Noun, Pronoun",Noun
You should always have a roll of toilet paper with you when you travel.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You should always have a roll of toilet paper with you when you travel.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He broke a string in the middle of a concert.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He broke a string in the middle of a concert.,Is the word 'string' a noun or a pronoun?,"Noun, Pronoun",Noun
He broke a string in the middle of a concert.,Is the word 'middle' a noun or a pronoun?,"Noun, Pronoun",Noun
He broke a string in the middle of a concert.,Is the word 'concert' a noun or a pronoun?,"Noun, Pronoun",Noun
The instrument maker sold me a cello.,Is the word 'instrument' a noun or a pronoun?,"Noun, Pronoun",Noun
The instrument maker sold me a cello.,Is the word 'maker' a noun or a pronoun?,"Noun, Pronoun",Noun
The instrument maker sold me a cello.,Is the word 'me' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The instrument maker sold me a cello.,Is the word 'cello' a noun or a pronoun?,"Noun, Pronoun",Noun
He can play the accordion for hours.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He can play the accordion for hours.,Is the word 'accordion' a noun or a pronoun?,"Noun, Pronoun",Noun
He can play the accordion for hours.,Is the word 'hours' a noun or a pronoun?,"Noun, Pronoun",Noun
The bagpipes is a traditionnal celtic instrument.,Is the word 'bagpipes' a noun or a pronoun?,"Noun, Pronoun",Noun
The bagpipes is a traditionnal celtic instrument.,Is the word 'instrument' a noun or a pronoun?,"Noun, Pronoun",Noun
I forgot the first note.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I forgot the first note.,Is the word 'note' a noun or a pronoun?,"Noun, Pronoun",Noun
"I cannot remember the piece, I need the partition.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"I cannot remember the piece, I need the partition.",Is the word 'piece' a noun or a pronoun?,"Noun, Pronoun",Noun
"I cannot remember the piece, I need the partition.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"I cannot remember the piece, I need the partition.",Is the word 'partition' a noun or a pronoun?,"Noun, Pronoun",Noun
I brought a card game to play in the bus.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I brought a card game to play in the bus.,Is the word 'card' a noun or a pronoun?,"Noun, Pronoun",Noun
I brought a card game to play in the bus.,Is the word 'game' a noun or a pronoun?,"Noun, Pronoun",Noun
I brought a card game to play in the bus.,Is the word 'bus' a noun or a pronoun?,"Noun, Pronoun",Noun
Does anybody want to play chess ?,Is the word 'anybody' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Does anybody want to play chess ?,Is the word 'chess' a noun or a pronoun?,"Noun, Pronoun",Noun
I do not know how to play checkers.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I do not know how to play checkers.,Is the word 'checkers' a noun or a pronoun?,"Noun, Pronoun",Noun
"There is a piece missing, I think it is a pawn.",Is the word 'There' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"There is a piece missing, I think it is a pawn.",Is the word 'piece' a noun or a pronoun?,"Noun, Pronoun",Noun
"There is a piece missing, I think it is a pawn.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"There is a piece missing, I think it is a pawn.",Is the word 'it' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"There is a piece missing, I think it is a pawn.",Is the word 'pawn' a noun or a pronoun?,"Noun, Pronoun",Noun
The queen is the most important piece of a chess game.,Is the word 'queen' a noun or a pronoun?,"Noun, Pronoun",Noun
The queen is the most important piece of a chess game.,Is the word 'piece' a noun or a pronoun?,"Noun, Pronoun",Noun
The queen is the most important piece of a chess game.,Is the word 'chess' a noun or a pronoun?,"Noun, Pronoun",Noun
The queen is the most important piece of a chess game.,Is the word 'game' a noun or a pronoun?,"Noun, Pronoun",Noun
You have to protect your king.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You have to protect your king.,Is the word 'your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You have to protect your king.,Is the word 'king' a noun or a pronoun?,"Noun, Pronoun",Noun
The knight can jump over the other pieces.,Is the word 'knight' a noun or a pronoun?,"Noun, Pronoun",Noun
The knight can jump over the other pieces.,Is the word 'pieces' a noun or a pronoun?,"Noun, Pronoun",Noun
The pawn can only move one square at a time.,Is the word 'pawn' a noun or a pronoun?,"Noun, Pronoun",Noun
The pawn can only move one square at a time.,Is the word 'square' a noun or a pronoun?,"Noun, Pronoun",Noun
The pawn can only move one square at a time.,Is the word 'time' a noun or a pronoun?,"Noun, Pronoun",Noun
I took his queen with my castle.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I took his queen with my castle.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I took his queen with my castle.,Is the word 'queen' a noun or a pronoun?,"Noun, Pronoun",Noun
I took his queen with my castle.,Is the word 'my' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I took his queen with my castle.,Is the word 'castle' a noun or a pronoun?,"Noun, Pronoun",Noun
« Check »,Is the word '»' a noun or a pronoun?,"Noun, Pronoun",Noun
« Checkmate »,Is the word '»' a noun or a pronoun?,"Noun, Pronoun",Noun
« Stalemate »,Is the word '»' a noun or a pronoun?,"Noun, Pronoun",Noun
It is your turn to cast the dice.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is your turn to cast the dice.,Is the word 'your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is your turn to cast the dice.,Is the word 'turn' a noun or a pronoun?,"Noun, Pronoun",Noun
It is your turn to cast the dice.,Is the word 'dice' a noun or a pronoun?,"Noun, Pronoun",Noun
Children are playing marbles in the playground.,Is the word 'Children' a noun or a pronoun?,"Noun, Pronoun",Noun
Children are playing marbles in the playground.,Is the word 'marbles' a noun or a pronoun?,"Noun, Pronoun",Noun
Children are playing marbles in the playground.,Is the word 'playground' a noun or a pronoun?,"Noun, Pronoun",Noun
This association gives sculpture lessons.,Is the word 'association' a noun or a pronoun?,"Noun, Pronoun",Noun
This association gives sculpture lessons.,Is the word 'sculpture' a noun or a pronoun?,"Noun, Pronoun",Noun
