Satz,Frage,Optionen,Richtige Antwort
Sie verspürt schon lange kein Begehren mehr für ihren Ehemann,Was ist das Geschlecht des Wortes 'Begehren'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Sie verspürt schon lange kein Begehren mehr für ihren Ehemann,Welcher Fall wird für das Wort 'Begehren' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Sie verspürt schon lange kein Begehren mehr für ihren Ehemann,Was ist das Geschlecht des Wortes 'Ehemann'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Sie verspürt schon lange kein Begehren mehr für ihren Ehemann,Welcher Fall wird für das Wort 'Ehemann' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Ich habe überhaupt keinen Zorn empfunden, als ich ihn sah",Was ist das Geschlecht des Wortes 'Zorn'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Ich habe überhaupt keinen Zorn empfunden, als ich ihn sah",Welcher Fall wird für das Wort 'Zorn' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Sie schaffen es nicht ihre Emotionen zu kontrollieren,Was ist das Geschlecht des Wortes 'Emotionen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Sie schaffen es nicht ihre Emotionen zu kontrollieren,Welcher Fall wird für das Wort 'Emotionen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er wird von Eifersucht gefressen,Was ist das Geschlecht des Wortes 'Eifersucht'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er wird von Eifersucht gefressen,Welcher Fall wird für das Wort 'Eifersucht' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Sie sind eifersüchtig auf seinen Erfolg,Was ist das Geschlecht des Wortes 'Erfolg'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Sie sind eifersüchtig auf seinen Erfolg,Welcher Fall wird für das Wort 'Erfolg' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Zeig nicht zu viel Begehren gegenüber deinen Freunden,Was ist das Geschlecht des Wortes 'Zeig'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Zeig nicht zu viel Begehren gegenüber deinen Freunden,Welcher Fall wird für das Wort 'Zeig' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Zeig nicht zu viel Begehren gegenüber deinen Freunden,Was ist das Geschlecht des Wortes 'Begehren'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Zeig nicht zu viel Begehren gegenüber deinen Freunden,Welcher Fall wird für das Wort 'Begehren' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Zeig nicht zu viel Begehren gegenüber deinen Freunden,Was ist das Geschlecht des Wortes 'Freunden'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Zeig nicht zu viel Begehren gegenüber deinen Freunden,Welcher Fall wird für das Wort 'Freunden' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Du bist zu neidisch auf deine Schwester,Was ist das Geschlecht des Wortes 'Schwester'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Du bist zu neidisch auf deine Schwester,Welcher Fall wird für das Wort 'Schwester' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Diese Situation hat sie unglücklich gemacht,Was ist das Geschlecht des Wortes 'Situation'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Diese Situation hat sie unglücklich gemacht,Welcher Fall wird für das Wort 'Situation' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er sucht das Glück,Was ist das Geschlecht des Wortes 'Glück'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er sucht das Glück,Welcher Fall wird für das Wort 'Glück' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Er ist sehr ehrgeizig, so sehr, dass er seine Familie darüber vergisst",Was ist das Geschlecht des Wortes 'Familie'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Er ist sehr ehrgeizig, so sehr, dass er seine Familie darüber vergisst",Welcher Fall wird für das Wort 'Familie' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Dieser Künstler ist kreativ,Was ist das Geschlecht des Wortes 'Künstler'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Dieser Künstler ist kreativ,Welcher Fall wird für das Wort 'Künstler' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er bewies ist als sehr freundlich zu seinen Nachbarn,Was ist das Geschlecht des Wortes 'Nachbarn'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Er bewies ist als sehr freundlich zu seinen Nachbarn,Welcher Fall wird für das Wort 'Nachbarn' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Schließlich holt die Langeweile die Versammlung ein,Was ist das Geschlecht des Wortes 'Langeweile'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Schließlich holt die Langeweile die Versammlung ein,Welcher Fall wird für das Wort 'Langeweile' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Schließlich holt die Langeweile die Versammlung ein,Was ist das Geschlecht des Wortes 'Versammlung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Schließlich holt die Langeweile die Versammlung ein,Welcher Fall wird für das Wort 'Versammlung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Ganz im Gegenteil zu ihrem Ruf, sie ist sehr bescheiden",Was ist das Geschlecht des Wortes 'Gegenteil'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Ganz im Gegenteil zu ihrem Ruf, sie ist sehr bescheiden",Welcher Fall wird für das Wort 'Gegenteil' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Ganz im Gegenteil zu ihrem Ruf, sie ist sehr bescheiden",Was ist das Geschlecht des Wortes 'Ruf'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Ganz im Gegenteil zu ihrem Ruf, sie ist sehr bescheiden",Welcher Fall wird für das Wort 'Ruf' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Er kann höflich sein, wenn es sein muss",Was ist das Geschlecht des Wortes 'muss'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Er kann höflich sein, wenn es sein muss",Welcher Fall wird für das Wort 'muss' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Sie sehr optimistisch, was diese Situation angeht",Was ist das Geschlecht des Wortes 'Situation'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Sie sehr optimistisch, was diese Situation angeht",Welcher Fall wird für das Wort 'Situation' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Das ist ein Junge voller Lebensfreude,Was ist das Geschlecht des Wortes 'Junge'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Das ist ein Junge voller Lebensfreude,Welcher Fall wird für das Wort 'Junge' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Das ist ein Junge voller Lebensfreude,Was ist das Geschlecht des Wortes 'Lebensfreude'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Das ist ein Junge voller Lebensfreude,Welcher Fall wird für das Wort 'Lebensfreude' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Die gute Nachricht machte ihn fröhlich,Was ist das Geschlecht des Wortes 'Nachricht'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die gute Nachricht machte ihn fröhlich,Welcher Fall wird für das Wort 'Nachricht' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er ist immer pessimistisch in Bezug auf die Zukunft,Was ist das Geschlecht des Wortes 'Bezug'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Er ist immer pessimistisch in Bezug auf die Zukunft,Welcher Fall wird für das Wort 'Bezug' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er ist immer pessimistisch in Bezug auf die Zukunft,Was ist das Geschlecht des Wortes 'Zukunft'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist immer pessimistisch in Bezug auf die Zukunft,Welcher Fall wird für das Wort 'Zukunft' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Du hast ein gutes Gedächtnis,Was ist das Geschlecht des Wortes 'Gedächtnis'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Du hast ein gutes Gedächtnis,Welcher Fall wird für das Wort 'Gedächtnis' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Dieses Haus ruft viele Erinnerungen in mir hervor,Was ist das Geschlecht des Wortes 'Haus'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Dieses Haus ruft viele Erinnerungen in mir hervor,Welcher Fall wird für das Wort 'Haus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Dieses Haus ruft viele Erinnerungen in mir hervor,Was ist das Geschlecht des Wortes 'Erinnerungen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Dieses Haus ruft viele Erinnerungen in mir hervor,Welcher Fall wird für das Wort 'Erinnerungen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Dieses Mädchen ist intellligent, aber ihr fehlt der Wille",Was ist das Geschlecht des Wortes 'Mädchen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Dieses Mädchen ist intellligent, aber ihr fehlt der Wille",Welcher Fall wird für das Wort 'Mädchen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Dieses Mädchen ist intellligent, aber ihr fehlt der Wille",Was ist das Geschlecht des Wortes 'Wille'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Dieses Mädchen ist intellligent, aber ihr fehlt der Wille",Welcher Fall wird für das Wort 'Wille' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er ist zu idiotisch um sich der Konsequenzen seiner Taten bewusst zu werden,Was ist das Geschlecht des Wortes 'Konsequenzen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist zu idiotisch um sich der Konsequenzen seiner Taten bewusst zu werden,Welcher Fall wird für das Wort 'Konsequenzen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Er ist zu idiotisch um sich der Konsequenzen seiner Taten bewusst zu werden,Was ist das Geschlecht des Wortes 'Taten'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist zu idiotisch um sich der Konsequenzen seiner Taten bewusst zu werden,Welcher Fall wird für das Wort 'Taten' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
"Das ist ein sehr empfindliches Mädchen, pass auf was du sagst",Was ist das Geschlecht des Wortes 'Mädchen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Das ist ein sehr empfindliches Mädchen, pass auf was du sagst",Welcher Fall wird für das Wort 'Mädchen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Sein Vater ist total unsensibel was seine Probleme angeht,Was ist das Geschlecht des Wortes 'Vater'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Sein Vater ist total unsensibel was seine Probleme angeht,Welcher Fall wird für das Wort 'Vater' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Sein Vater ist total unsensibel was seine Probleme angeht,Was ist das Geschlecht des Wortes 'Probleme'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Sein Vater ist total unsensibel was seine Probleme angeht,Welcher Fall wird für das Wort 'Probleme' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Das junge Mädchen war sehr reif für ihr Alter,Was ist das Geschlecht des Wortes 'Mädchen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Das junge Mädchen war sehr reif für ihr Alter,Welcher Fall wird für das Wort 'Mädchen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Das junge Mädchen war sehr reif für ihr Alter,Was ist das Geschlecht des Wortes 'Alter'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Das junge Mädchen war sehr reif für ihr Alter,Welcher Fall wird für das Wort 'Alter' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich habe eine schlechte Vorahnung,Was ist das Geschlecht des Wortes 'Vorahnung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich habe eine schlechte Vorahnung,Welcher Fall wird für das Wort 'Vorahnung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich bin mir meiner Gefühle für dich nicht sicher,Was ist das Geschlecht des Wortes 'Gefühle'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Ich bin mir meiner Gefühle für dich nicht sicher,Welcher Fall wird für das Wort 'Gefühle' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Im Grunde ist er sentimental,Was ist das Geschlecht des Wortes 'Grunde'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Im Grunde ist er sentimental,Welcher Fall wird für das Wort 'Grunde' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Seine Stimme war durch eine gewisse Traurigkeit markiert,Was ist das Geschlecht des Wortes 'Stimme'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Stimme war durch eine gewisse Traurigkeit markiert,Welcher Fall wird für das Wort 'Stimme' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Stimme war durch eine gewisse Traurigkeit markiert,Was ist das Geschlecht des Wortes 'Traurigkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Stimme war durch eine gewisse Traurigkeit markiert,Welcher Fall wird für das Wort 'Traurigkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er bereitete heimlich seine Rache vor,Was ist das Geschlecht des Wortes 'Rache'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er bereitete heimlich seine Rache vor,Welcher Fall wird für das Wort 'Rache' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
An jenem Abend vergaß er seine Prinzipien,Was ist das Geschlecht des Wortes 'Abend'?,"['maskulin', 'feminin', 'neutral']",['Masc']
An jenem Abend vergaß er seine Prinzipien,Welcher Fall wird für das Wort 'Abend' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
An jenem Abend vergaß er seine Prinzipien,Was ist das Geschlecht des Wortes 'Prinzipien'?,"['maskulin', 'feminin', 'neutral']",['Neut']
An jenem Abend vergaß er seine Prinzipien,Welcher Fall wird für das Wort 'Prinzipien' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Das ist eine Frage der Ehre, ich muss diese Prüfung bestehen",Was ist das Geschlecht des Wortes 'Frage'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Das ist eine Frage der Ehre, ich muss diese Prüfung bestehen",Welcher Fall wird für das Wort 'Frage' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Das ist eine Frage der Ehre, ich muss diese Prüfung bestehen",Was ist das Geschlecht des Wortes 'Ehre'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Das ist eine Frage der Ehre, ich muss diese Prüfung bestehen",Welcher Fall wird für das Wort 'Ehre' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
"Das ist eine Frage der Ehre, ich muss diese Prüfung bestehen",Was ist das Geschlecht des Wortes 'Prüfung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Das ist eine Frage der Ehre, ich muss diese Prüfung bestehen",Welcher Fall wird für das Wort 'Prüfung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Er ist sehr schüchtern, er hat nicht von dem Abend gesprochen",Was ist das Geschlecht des Wortes 'Abend'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Er ist sehr schüchtern, er hat nicht von dem Abend gesprochen",Welcher Fall wird für das Wort 'Abend' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Seine Schüchternheit ist eine wahre Behinderung,Was ist das Geschlecht des Wortes 'Schüchternheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Schüchternheit ist eine wahre Behinderung,Welcher Fall wird für das Wort 'Schüchternheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Schüchternheit ist eine wahre Behinderung,Was ist das Geschlecht des Wortes 'Behinderung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Schüchternheit ist eine wahre Behinderung,Welcher Fall wird für das Wort 'Behinderung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er hatte einen zu bewegten Geist und er schaffte es nicht einzuschlafen,Was ist das Geschlecht des Wortes 'Geist'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Er hatte einen zu bewegten Geist und er schaffte es nicht einzuschlafen,Welcher Fall wird für das Wort 'Geist' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Er scheint naiv, aber das ist nur der Schein",Was ist das Geschlecht des Wortes 'Schein'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Er scheint naiv, aber das ist nur der Schein",Welcher Fall wird für das Wort 'Schein' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er ist wegen seiner Prüfungen ängstlich,Was ist das Geschlecht des Wortes 'Prüfungen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist wegen seiner Prüfungen ängstlich,Welcher Fall wird für das Wort 'Prüfungen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
"Er war unfähig, seine Unruhe zu verbergen",Was ist das Geschlecht des Wortes 'Unruhe'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Er war unfähig, seine Unruhe zu verbergen",Welcher Fall wird für das Wort 'Unruhe' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Seine Angst hinderte ihn am Schlafen,Was ist das Geschlecht des Wortes 'Angst'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Angst hinderte ihn am Schlafen,Welcher Fall wird für das Wort 'Angst' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Angst hinderte ihn am Schlafen,Was ist das Geschlecht des Wortes 'Schlafen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Seine Angst hinderte ihn am Schlafen,Welcher Fall wird für das Wort 'Schlafen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er lehnte aus Stolz ab zu kommen,Was ist das Geschlecht des Wortes 'Stolz'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Er lehnte aus Stolz ab zu kommen,Welcher Fall wird für das Wort 'Stolz' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er antworte auf sehr zynische Art und Weise,Was ist das Geschlecht des Wortes 'Art'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er antworte auf sehr zynische Art und Weise,Welcher Fall wird für das Wort 'Art' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er antworte auf sehr zynische Art und Weise,Was ist das Geschlecht des Wortes 'Weise'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er antworte auf sehr zynische Art und Weise,Welcher Fall wird für das Wort 'Weise' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Sein Zynismus zog oft Feinde an,Was ist das Geschlecht des Wortes 'Zynismus'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Sein Zynismus zog oft Feinde an,Welcher Fall wird für das Wort 'Zynismus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Sein Zynismus zog oft Feinde an,Was ist das Geschlecht des Wortes 'Feinde'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Sein Zynismus zog oft Feinde an,Welcher Fall wird für das Wort 'Feinde' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er behängte sich mit Schande,Was ist das Geschlecht des Wortes 'Schande'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er behängte sich mit Schande,Welcher Fall wird für das Wort 'Schande' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er zeigt selten Zärtlichkeit gegenüber seinen Kindern,Was ist das Geschlecht des Wortes 'Zärtlichkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er zeigt selten Zärtlichkeit gegenüber seinen Kindern,Welcher Fall wird für das Wort 'Zärtlichkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er zeigt selten Zärtlichkeit gegenüber seinen Kindern,Was ist das Geschlecht des Wortes 'Kindern'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er zeigt selten Zärtlichkeit gegenüber seinen Kindern,Welcher Fall wird für das Wort 'Kindern' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Ich fühle mich nervös jedes Mal wenn ich in der Öffentlichkeit spreche,Was ist das Geschlecht des Wortes 'Mal'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Ich fühle mich nervös jedes Mal wenn ich in der Öffentlichkeit spreche,Welcher Fall wird für das Wort 'Mal' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich fühle mich nervös jedes Mal wenn ich in der Öffentlichkeit spreche,Was ist das Geschlecht des Wortes 'Öffentlichkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich fühle mich nervös jedes Mal wenn ich in der Öffentlichkeit spreche,Welcher Fall wird für das Wort 'Öffentlichkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Ihr Ehemann ist sehr zärtlich zu ihr,Was ist das Geschlecht des Wortes 'Ehemann'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Ihr Ehemann ist sehr zärtlich zu ihr,Welcher Fall wird für das Wort 'Ehemann' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Seine Nervosität war sichtbar,Was ist das Geschlecht des Wortes 'Nervosität'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Seine Nervosität war sichtbar,Welcher Fall wird für das Wort 'Nervosität' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Ich fühle mich nicht kompetent genug für diese Arbeit,Was ist das Geschlecht des Wortes 'Arbeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich fühle mich nicht kompetent genug für diese Arbeit,Welcher Fall wird für das Wort 'Arbeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er hat manche nützlichen Kompetenzen,Was ist das Geschlecht des Wortes 'Kompetenzen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er hat manche nützlichen Kompetenzen,Welcher Fall wird für das Wort 'Kompetenzen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Inkompetenz dieser Verwaltung ist legendär,Was ist das Geschlecht des Wortes 'Inkompetenz'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Inkompetenz dieser Verwaltung ist legendär,Welcher Fall wird für das Wort 'Inkompetenz' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Inkompetenz dieser Verwaltung ist legendär,Was ist das Geschlecht des Wortes 'Verwaltung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Inkompetenz dieser Verwaltung ist legendär,Welcher Fall wird für das Wort 'Verwaltung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
"Er war zögerlich, was das Verhalten an das es sich anzupassen galt anging Anpassung",Was ist das Geschlecht des Wortes 'Verhalten'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Er war zögerlich, was das Verhalten an das es sich anzupassen galt anging Anpassung",Welcher Fall wird für das Wort 'Verhalten' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Er war zögerlich, was das Verhalten an das es sich anzupassen galt anging Anpassung",Was ist das Geschlecht des Wortes 'Anpassung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Er war zögerlich, was das Verhalten an das es sich anzupassen galt anging Anpassung",Welcher Fall wird für das Wort 'Anpassung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er hatte eine Sekunde Zögern bevor er an die Tür klopfte,Was ist das Geschlecht des Wortes 'Sekunde'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er hatte eine Sekunde Zögern bevor er an die Tür klopfte,Welcher Fall wird für das Wort 'Sekunde' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er hatte eine Sekunde Zögern bevor er an die Tür klopfte,Was ist das Geschlecht des Wortes 'Tür'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er hatte eine Sekunde Zögern bevor er an die Tür klopfte,Welcher Fall wird für das Wort 'Tür' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er ist zu idealistisch um diese Arbeit anzunehmen,Was ist das Geschlecht des Wortes 'Arbeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist zu idealistisch um diese Arbeit anzunehmen,Welcher Fall wird für das Wort 'Arbeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Mit der bevorstehenden Abreise, wurde sie reizbar",Was ist das Geschlecht des Wortes 'Abreise'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Mit der bevorstehenden Abreise, wurde sie reizbar",Welcher Fall wird für das Wort 'Abreise' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Jedes Mal, wenn er sie wiedersah, empfand er Nostalgie",Was ist das Geschlecht des Wortes 'Mal'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Jedes Mal, wenn er sie wiedersah, empfand er Nostalgie",Welcher Fall wird für das Wort 'Mal' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Jedes Mal, wenn er sie wiedersah, empfand er Nostalgie",Was ist das Geschlecht des Wortes 'Nostalgie'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Jedes Mal, wenn er sie wiedersah, empfand er Nostalgie",Welcher Fall wird für das Wort 'Nostalgie' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Ich habe die Gewissheit, dass es regnen wird",Was ist das Geschlecht des Wortes 'Gewissheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
