Exercise,Options,Answer
The ______ station is open at night.,"police, polices",police
The police ______ is open at night.,"station, stations",station
The police station is open at ______.,"night, nights",night
He does not have any ______ on him.,"weapon, weapons",weapon
"When you are threatened with a ______, you do not try to defend yourself.","gun, guns",gun
She has been threatened with a ______ so that they could steal her purse.,"knife, knives",knife
She has been threatened with a knife so that they could steal her ______.,"purse, purses",purse
I am not sure this is a legal ______.,"business, businesses",business
This ______ is still illegal.,"plant, plants",plant
______ happen more and more often in this town.,"Aggressions, Aggressionss",Aggressions
Aggressions happen more and more often in this ______.,"town, towns",town
The ______ managed to escape.,"thief, thiefs",thief
The ______ of this building is maintained by a guardian.,"security, securities",security
The security of this ______ is maintained by a guardian.,"building, buildings",building
The security of this building is maintained by a ______.,"guardian, guardians",guardian
______ is one of the main themes of this campaign.,"Insecurity, Insecuritys",Insecurity
Insecurity is one of the main ______ of this campaign.,"themes, theme",themes
Insecurity is one of the main themes of this ______.,"campaign, campaigns",campaign
It is dangerous to go for a ______ here at night.,"walk, walks",walk
It is dangerous to go for a walk here at ______.,"night, nights",night
The ______ is not completely passed.,"danger, dangers",danger
The ______ do not come in this neighborhood anymore.,"police, polices",police
The police do not come in this ______ anymore.,"neighborhood, neighborhoods",neighborhood
The ______ have made a blunder.,"policemen, policemens",policemen
The policemen have made a ______.,"blunder, blunders",blunder
He was handcuffed during his ______.,"arrestation, arrestations",arrestation
He got a ______ with a baton during a confrontation with the police.,"blow, blows",blow
He got a blow with a ______ during a confrontation with the police.,"baton, batons",baton
He got a blow with a baton during a ______ with the police.,"confrontation, confrontations",confrontation
The ATM is out of ______.,"order, orders",order
The ______ has to give me my change back.,"baker, bakers",baker
The baker has to give me my ______ back.,"change, changes",change
Always check that ______ do not give you a fake note back.,"people, peoples",people
Always check that people do not give you a fake ______ back.,"note, notes",note
"The ______ was too expensive, I could not buy it.","book, books",book
This ______ pool is very cheap.,"swimming, swimmings",swimming
This swimming ______ is very cheap.,"pool, pools",pool
"In France, ______ like cheese.","people, peoples",people
"In France, people like ______.","cheese, cheeses",cheese
French ______ often go on holiday.,"people, peoples",people
French people often go on ______.,"holiday, holidays",holiday
England won the last ______ match.,"rugby, rugbies",rugby
England won the last rugby ______.,"match, matches",match
English ______ like French gastronomy.,"people, peoples",people
English people like French ______.,"gastronomy, gastronomies",gastronomy
The United States announced new economic ______ to curb the crisis.,"measures, measure",measures
The United States announced new economic measures to curb the ______.,"crisis, crises",crisis
The ______ has been invented by an American.,"phone, phones",phone
He spends his ______ in Spain this year.,"holidays, holiday",holidays
He spends his holidays in Spain this ______.,"year, years",year
The Spanish ______ became unpopular due to the crisis.,"government, governments",government
The Spanish government became unpopular due to the ______.,"crisis, crises",crisis
He studied in Italy for one ______.,"year, years",year
They met two Italians in the ______.,"bus, buses",bus
Brazil announced the ______ of a new oil slick.,"discovery, discoveries",discovery
Brazil announced the discovery of a new ______ slick.,"oil, oils",oil
Brazil announced the discovery of a new oil ______.,"slick, slicks",slick
Brazilian ______ are worried by the fate of the Amazone Rainforest.,"people, peoples",people
Brazilian people are worried by the ______ of the Amazone Rainforest.,"fate, fates",fate
Russia vetoed the ______ of the last UN Security Council meeting.,"proposals, proposal",proposals
Russia vetoed the proposals of the last UN Security Council ______.,"meeting, meetings",meeting
Russians are among the biggest ______ dealers in the world.,"arm, arms",arm
Russians are among the biggest arm ______ in the world.,"dealers, dealer",dealers
Russians are among the biggest arm dealers in the ______.,"world, worlds",world
China has become a big ______ destination for tourists.,"holiday, holidays",holiday
China has become a big holiday ______ for tourists.,"destination, destinations",destination
China has become a big holiday destination for ______.,"tourists, tourist",tourists
The Chinese ______ against their work conditions.,"protest, protests",protest
The Chinese protest against their ______ conditions.,"work, works",work
The Chinese protest against their work ______.,"conditions, condition",conditions
Japan is located in a seismic ______.,"region, regions",region
The Japanese are in ______ with the European Union concerning whale hunting.,"conflict, conflicts",conflict
The Japanese are in conflict with the European Union concerning whale ______.,"hunting, huntings",hunting
India is in full economic ______.,"expansion, expansions",expansion
"Among ______, there are more and more Indian people visiting Paris.","tourists, tourist",tourists
"Among tourists, there are more and more Indian ______ visiting Paris.","people, peoples",people
They have worked in Australia for three ______.,"years, year",years
The Africans criticized French ______.,"interventionism, interventionisms",interventionism
A ______ of Asian people live in this neighborhood.,"lot, lots",lot
A lot of Asian ______ live in this neighborhood.,"people, peoples",people
A lot of Asian people live in this ______.,"neighborhood, neighborhoods",neighborhood
The ______ of the European Union are having a hard time to agree on the economic measures they have to take.,"countries, country",countries
The countries of the European Union are having a hard ______ to agree on the economic measures they have to take.,"time, times",time
The countries of the European Union are having a hard time to agree on the economic ______ they have to take.,"measures, measure",measures
He went round South America in two ______.,"years, year",years
The ______ of North America expanded rapidly during the seventeenth century.,"colonization, colonizations",colonization
The colonization of North America expanded rapidly during the seventeenth ______.,"century, centuries",century
The Mahgreb imports large ______ of cereals.,"amounts, amount",amounts
The Mahgreb imports large amounts of ______.,"cereals, cereal",cereals
Middle East is one of the ______ of civilization.,"cradles, cradle",cradles
Middle East is one of the cradles of ______.,"civilization, civilizations",civilization
The ______ process in Middle East is the subject of this UN meeting.,"peace, peaces",peace
The peace ______ in Middle East is the subject of this UN meeting.,"process, processes",process
The peace process in Middle East is the ______ of this UN meeting.,"subject, subjects",subject
Mexico is the second ______ of Latin America.,"economy, economies",economy
Mexican ______ eat a lot of spiced food.,"people, peoples",people
Mexican people eat a ______ of spiced food.,"lot, lots",lot
Mexican people eat a lot of spiced ______.,"food, foods",food
Canada is one of the ______ which is the most affected by the climate change.,"countries, country",countries
Canada is one of the countries which is the most affected by the ______ change.,"climate, climates",climate
Canada is one of the countries which is the most affected by the climate ______.,"change, changes",change
The Canadians are very keen on ______.,"hockey, hockeys",hockey
Germany is the first European economic ______.,"power, powers",power
There are mostly German ______ in this residence hall.,"people, peoples",people
There are mostly German people in this ______ hall.,"residence, residences",residence
There are mostly German people in this residence ______.,"hall, halls",hall
The South Africans defeated the French at ______.,"rugby, rugbies",rugby
The last ______ should leave Afghanistan soon.,"soldiers, soldier",soldiers
Most of the Afghan ______ do not know the reasons of the Western occupation.,"people, peoples",people
Most of the Afghan people do not know the ______ of the Western occupation.,"reasons, reason",reasons
Most of the Afghan people do not know the reasons of the Western ______.,"occupation, occupations",occupation
Lybia is a ______ country.,"desert, deserts",desert
Lybia is a desert ______.,"country, countries",country
______ should elect their first government next year.,"Lybians, Lybianss",Lybians
Lybians should elect their first ______ next year.,"government, governments",government
Lybians should elect their first government next ______.,"year, years",year
The ______ in Syria does not weaken.,"rebellion, rebellions",rebellion
The Syrians are determined to overthrow their ______.,"government, governments",government
Israel's ______ is mainly composed of Jewish people.,"population, populations",population
Israel's population is mainly composed of Jewish ______.,"people, peoples",people
Israelis are demanding more social ______.,"justice, justices",justice
The Arabs are asking for more ______.,"democracy, democracies",democracy
Argentina got into a ______ in payment in 2001.,"default, defaults",default
Argentina got into a default in ______ in 2001.,"payment, payments",payment
Argentinian ______ are in favor of an interventionist economic policy.,"people, peoples",people
Argentinian people are in ______ of an interventionist economic policy.,"favor, favors",favor
Argentinian people are in favor of an interventionist economic ______.,"policy, policies",policy
Colombia is one of the only ______ in South America which houses American military bases.,"countries, country",countries
Colombia is one of the only countries in South America which houses American military ______.,"bases, base",bases
I have chatted with some Colombians at the ______ stop for an hour.,"bus, buses",bus
I have chatted with some Colombians at the bus ______ for an hour.,"stop, stops",stop
I have chatted with some Colombians at the bus stop for an ______.,"hour, hours",hour
The Sumerian ______ used to occupy the actual Iraq.,"civilization, civilizations",civilization
Iraqis are in ______ of the evacuation of the American troops.,"favor, favors",favor
Iraqis are in favor of the ______ of the American troops.,"evacuation, evacuations",evacuation
Iraqis are in favor of the evacuation of the American ______.,"troops, troop",troops
Diplomatic ______ between Pakistan and the United States are tense.,"relationships, relationship",relationships
Pakistani ______ have an important economic role in this city.,"people, peoples",people
Pakistani people have an important economic ______ in this city.,"role, roles",role
Pakistani people have an important economic role in this ______.,"city, cities",city
Peruvian ______ are composed of several Andean ______.,"people, peoples",people
Peruvian ______ are composed of several Andean ______.,"people, peoples",people
Chile is a South American ______.,"country, countries",country
Chilean ______ have a very particular accent.,"people, peoples",people
Chilean people have a very particular ______.,"accent, accents",accent
He spent three ______ in Vietnam.,"months, month",months
Vietnamese ______ are disliked in Cambodia.,"people, peoples",people
The ______ of Portugal is Lisboa.,"capital, capitals",capital
The Portuguese have a very high public ______.,"debt, debts",debt
Thailand is hit by torrential ______.,"rain, rains",rain
Thai ______ have never been colonized.,"people, peoples",people
Tibetans claim for more ______.,"freedom, freedoms",freedom
Taiwan is a never-ending tense ______ between China and the United States.,"subject, subjects",subject
Taiwanese ______ work a lot.,"people, peoples",people
Taiwanese people work a ______.,"lot, lots",lot
The ______ between Cambodia and Thailand was the scene of violent confrontations.,"border, borders",border
The border between Cambodia and Thailand was the ______ of violent confrontations.,"scene, scenes",scene
The border between Cambodia and Thailand was the scene of violent ______.,"confrontations, confrontation",confrontations
The Cambodians did not forget the Khmer Rouge ______.,"era, eras",era
Burma is showing ______ of opening up to the outside world.,"signs, sign",signs
Burma is showing signs of ______ up to the outside world.,"opening, openings",opening
Burma is showing signs of opening up to the outside ______.,"world, worlds",world
Burmese ______ want more democracy.,"people, peoples",people
Burmese people want more ______.,"democracy, democracies",democracy
Nigeria has important ______ ressources.,"hydrocarbon, hydrocarbons",hydrocarbon
Nigeria has important hydrocarbon ______.,"ressources, ressource",ressources
Senegal used to be a French ______.,"colony, colonies",colony
Senegalese ______ have unusually low salaries in France.,"people, peoples",people
Senegalese people have unusually low ______ in France.,"salaries, salary",salaries
Morocco is one of the favorite ______ of French tourists.,"destinations, destination",destinations
Morocco is one of the favorite destinations of French ______.,"tourists, tourist",tourists
Moroccan ______ drink a lot of mint tea.,"people, peoples",people
Moroccan people drink a ______ of mint tea.,"lot, lots",lot
Moroccan people drink a lot of ______ tea.,"mint, mints",mint
Algeria gained its ______ in 1962.,"independence, independences",independence
Greece is staggering under the ______ of recession.,"weight, weights",weight
Greece is staggering under the weight of ______.,"recession, recessions",recession
The Greeks are demonstrating against ______ plans.,"austerity, austerities",austerity
The Greeks are demonstrating against austerity ______.,"plans, plan",plans
Turkish ______ are very welcoming.,"people, peoples",people
Palestine officially applied for its UN ______.,"membership, memberships",membership
Palestinian ______ want to be heard.,"people, peoples",people
Switzerland stayed neutral during the ______ of the war.,"whole, wholes",whole
Switzerland stayed neutral during the whole of the ______.,"war, wars",war
The Swiss generally speak three ______.,"languages, language",languages
Holland is a flat ______.,"country, countries",country
"Generally speaking, the Dutch know a ______ of languages","lot, lots",lot
"Generally speaking, the Dutch know a lot of ______","languages, language",languages
The ______ of Indonesians is Muslim.,"majority, majorities",majority
New Zealand won the ______ by a narrow margin.,"match, matches",match
New Zealand won the match by a narrow ______.,"margin, margins",margin
Bangladesh is one of the ______ which is the most affected by the rising sea level.,"countries, country",countries
Bangladesh is one of the countries which is the most affected by the rising ______ level.,"sea, seas",sea
Bangladesh is one of the countries which is the most affected by the rising sea ______.,"level, levels",level
Bangladeshi are used to ______ cuts.,"power, powers",power
Bangladeshi are used to power ______.,"cuts, cut",cuts
Antartica is a ______.,"continent, continents",continent
______ are all plunging in the sea.,"Rivers, Riverss",Rivers
Rivers are all plunging in the ______.,"sea, seas",sea
The ______ is reddening at the close of the day.,"sky, skies",sky
The sky is reddening at the ______ of the day.,"close, closes",close
The sky is reddening at the close of the ______.,"day, days",day
The ______ flows peacefully.,"river, rivers",river
The ______ is frozen during winters.,"lake, lakes",lake
The lake is frozen during ______.,"winters, winter",winters
They crossed the ______ by boat.,"ocean, oceans",ocean
They crossed the ocean by ______.,"boat, boats",boat
There is not one single ______ in the sky today.,"cloud, clouds",cloud
There is not one single cloud in the ______ today.,"sky, skies",sky
There is not one single cloud in the sky ______.,"today, todays",today
______ has started to fall down.,"Rain, Rains",Rain
The ______ is clearing away gradually.,"fog, fogs",fog
I think I saw an ______.,"animal, animals",animal
______ are eating plants.,"Herbivores, Herbivoreses",Herbivores
Herbivores are eating ______.,"plants, plant",plants
We have to plant ______ to fight global warming.,"trees, tree",trees
We have to plant trees to fight global ______.,"warming, warmings",warming
The ______ eats grass.,"cow, cows",cow
The cow eats ______.,"grass, grasses",grass
We are going to the ______ every summer.,"mountain, mountains",mountain
We are going to the mountain every ______.,"summer, summers",summer
The ______ blows on the plains.,"wind, winds",wind
The wind blows on the ______.,"plains, plain",plains
The ______ is located at an altitude of three thousands meters.,"plateau, plateaus",plateau
The plateau is located at an ______ of three thousands meters.,"altitude, altitudes",altitude
The plateau is located at an altitude of three ______ meters.,"thousands, thousand",thousands
The ______ is falling in big flakes.,"snow, snows",snow
The snow is falling in big ______.,"flakes, flake",flakes
The ______ destroyed the maze crops.,"hail, hails",hail
The hail destroyed the ______ crops.,"maze, mazes",maze
The hail destroyed the maze ______.,"crops, crop",crops
The ______ is rising.,"wind, winds",wind
The ______ caused a lot of damage.,"tempest, tempests",tempest
The tempest caused a ______ of damage.,"lot, lots",lot
The tempest caused a lot of ______.,"damage, damages",damage
The ______ falls quickly in the tropics.,"night, nights",night
The night falls quickly in the ______.,"tropics, tropic",tropics
______ is breaking early today.,"Day, Days",Day
Day is breaking early ______.,"today, todays",today
The ______ is at its zenith.,"sun, suns",sun
The sun is at its ______.,"zenith, zeniths",zenith
The ______ will be full tomorrow.,"moon, moons",moon
The moon will be full ______.,"tomorrow, tomorrows",tomorrow
The ______ are twinkling intensively tonight.,"stars, star",stars
The stars are twinkling intensively ______.,"tonight, tonights",tonight
There are little ______ in the brook.,"fish, fish",fish
There are little fish in the ______.,"brook, brooks",brook
The ______ fields stretch away as far as the eye can see.,"wheat, wheats",wheat
The wheat ______ stretch away as far as the eye can see.,"fields, field",fields
The wheat fields stretch away as far as the ______ can see.,"eye, eyes",eye
Is ______ really infinite ?,"space, spaces",space
______ revolve round the Sun.,"Planets, Planetss",Planets
Planets ______ round the Sun.,"revolve, revolves",revolve
The ______ had devastating consequences.,"tsunami, tsunamis",tsunami
The tsunami had devastating ______.,"consequences, consequence",consequences
An ______ devastated the country.,"earthquake, earthquakes",earthquake
An earthquake devastated the ______.,"country, countries",country
He offered ______ to his neighbor.,"flowers, flower",flowers
He offered flowers to his ______.,"neighbor, neighbors",neighbor
The ______ is damp.,"ground, grounds",ground
You have got ______ on your shoes.,"earth, earths",earth
You have got earth on your ______.,"shoes, shoe",shoes
You have to plant ______ before winter.,"seeds, seed",seeds
You have to plant seeds before ______.,"winter, winters",winter
The ______ fell suddenly.,"cold, colds",cold
The ______ burnt everything in its path.,"fire, fires",fire
The fire burnt everything in its ______.,"path, paths",path
The ______ is covered in ice.,"lake, lakes",lake
The lake is covered in ______.,"ice, ices",ice
______ drift across the ocean.,"Icebergs, Icebergss",Icebergs
Icebergs ______ across the ocean.,"drift, drifts",drift
Icebergs drift across the ______.,"ocean, oceans",ocean
The ______ are melting quickly.,"glaciers, glacier",glaciers
The ______ flows peacefully.,"river, rivers",river
______ will go by quickly.,"Summer, Summers",Summer
"In ______, leaves are falling.","autumn, autumns",autumn
"In autumn, ______ are falling.","leaves, leave",leaves
______ is here sooner this year.,"Spring, Springs",Spring
Spring is here sooner this ______.,"year, years",year
______ is particularly harsh this year.,"Winter, Winters",Winter
Winter is particularly harsh this ______.,"year, years",year
"During the dry ______, it never rains.","season, seasons",season
The rainy ______ is about to begin.,"season, seasons",season
The ______ is rolling in a heap of leaves.,"dog, dogs",dog
The dog is rolling in a ______ of leaves.,"heap, heaps",heap
The dog is rolling in a heap of ______.,"leaves, leave",leaves
Swipe the ______ off your boots.,"mud, muds",mud
Swipe the mud off your ______.,"boots, boot",boots
The ______ are threatened by the water rises.,"islands, island",islands
The islands are threatened by the ______ rises.,"water, waters",water
The islands are threatened by the water ______.,"rises, rise",rises
The continental ______ has been discovered during the last century.,"drift, drifts",drift
The continental drift has been discovered during the last ______.,"century, centuries",century
The Pacific is the largest ______.,"ocean, oceans",ocean
The Indian Ocean is ______ with pirates.,"overrun, overruns",overrun
The Indian Ocean is overrun with ______.,"pirates, pirate",pirates
______ has been developping in the Mediterranean Sea since antiquity.,"Trading, Tradings",Trading
Trading has been developping in the Mediterranean Sea since ______.,"antiquity, antiquities",antiquity
The Andes are a young ______ of mountains.,"range, ranges",range
The Andes are a young range of ______.,"mountains, mountain",mountains
The highest ______ in the world is located in the Himalayas.,"summit, summits",summit
The highest summit in the ______ is located in the Himalayas.,"world, worlds",world
The ______ is changing rapidly on the global scale.,"climate, climates",climate
The climate is changing rapidly on the global ______.,"scale, scales",scale
There are four ______ in this country.,"seasons, season",seasons
There are four seasons in this ______.,"country, countries",country
This ______ is impassable.,"desert, deserts",desert
The ______ provides a habitat for a certain number of species.,"forest, forests",forest
The forest provides a ______ for a certain number of species.,"habitat, habitats",habitat
The forest provides a habitat for a certain ______ of species.,"number, numbers",number
The ______ stretches away as far as the eye can see.,"jungle, jungles",jungle
The jungle stretches away as far as the ______ can see.,"eye, eyes",eye
The Amazon is the ______ of deforestation.,"victim, victims",victim
The Amazon is the victim of ______.,"deforestation, deforestations",deforestation
The Alps are the biggest ______ of mountains in Europe.,"range, ranges",range
The Alps are the biggest range of ______ in Europe.,"mountains, mountain",mountains
The ______ floe is an ______ layer which floats on the sea.,"ice, ices",ice
The ice ______ is an ice layer which floats on the sea.,"floe, floes",floe
The ______ floe is an ______ layer which floats on the sea.,"ice, ices",ice
The ______ of the ice floe worries the scientists.,"melting, meltings",melting
The melting of the ______ floe worries the scientists.,"ice, ices",ice
The melting of the ice ______ worries the scientists.,"floe, floes",floe
______ melts during the thaw.,"Snow, Snows",Snow
Snow melts during the ______.,"thaw, thaws",thaw
Permafrost is a ______ of iced ground which is frozen permanently.,"layer, layers",layer
Permafrost is a layer of iced ______ which is frozen permanently.,"ground, grounds",ground
______ threatens food-producing cultures.,"Desertification, Desertifications",Desertification
Desertification threatens ______-producing cultures.,"food, foods",food
Desertification threatens food-producing ______.,"cultures, culture",cultures
The ______ takes the craft to the open sea.,"current, currents",current
The current takes the ______ to the open sea.,"craft, craft",craft
The current takes the craft to the open ______.,"sea, seas",sea
The ______ devastated the area.,"hurricane, hurricanes",hurricane
The hurricane devastated the ______.,"area, areas",area
There is an ______ in the bush.,"animal, animals",animal
There is an animal in the ______.,"bush, bushes",bush
A ______ is smaller than a tree.,"shrub, shrubs",shrub
A shrub is smaller than a ______.,"tree, trees",tree
______ leap from branch to branch.,"Monkeys, Monkeyss",Monkeys
Monkeys leap from ______ to ______.,"branch, branches",branch
The wild ______ feeds itself essentially on roots.,"boar, boars",boar
The wild boar feeds itself essentially on ______.,"roots, root",roots
The ______ is hidden by vegetation.,"path, paths",path
The path is hidden by ______.,"vegetation, vegetations",vegetation
______ paths cover the entire country.,"Hiking, Hikings",Hiking
Hiking ______ cover the entire country.,"paths, path",paths
Hiking paths cover the entire ______.,"country, countries",country
The ______ is warming itself up on the stones.,"snake, snakes",snake
The snake is warming itself up on the ______.,"stones, stone",stones
The ______ graze the water surface.,"rocks, rock",rocks
The rocks graze the ______ surface.,"water, waters",water
The rocks graze the water ______.,"surface, surfaces",surface
______ fell off the cliff.,"Sheep, Sheep",Sheep
Sheep fell off the ______.,"cliff, cliffs",cliff
The ______ irritated our throats.,"dust, dusts",dust
The dust irritated our ______.,"throats, throat",throats
This ______ is striken by the drought.,"area, areas",area
This area is striken by the ______.,"drought, droughts",drought
The ______ only made material damages.,"flood, floods",flood
The flood only made ______ damages.,"material, materials",material
The flood only made material ______.,"damages, damage",damages
The ______ of the dam have been opened.,"floodgates, floodgate",floodgates
The floodgates of the ______ have been opened.,"dam, dams",dam
This ______ is a pirates' den.,"archipelago, archipelagos",archipelago
This archipelago is a ______' den.,"pirates, pirate",pirates
This archipelago is a pirates' ______.,"den, dens",den
It is the full ______ tonight.,"moon, moons",moon
It is the full moon ______.,"tonight, tonights",tonight
The ______ of tides has been going on since the dawn of time.,"cycle, cycles",cycle
The cycle of ______ has been going on since the dawn of time.,"tides, tide",tides
The cycle of tides has been going on since the ______ of time.,"dawn, dawns",dawn
He knows how to recognize the ______.,"constellations, constellation",constellations
A six-______ wave broke onto the beach.,"meter, meters",meter
A six-meter ______ broke onto the beach.,"wave, waves",wave
A six-meter wave broke onto the ______.,"beach, beaches",beach
The ______ blows softly.,"breeze, breezes",breeze
A thin ______ falls down on the city.,"drizzle, drizzles",drizzle
A thin drizzle falls down on the ______.,"city, cities",city
"At ______, a light dew forms on the leaves.","dawn, dawns",dawn
"At dawn, a light ______ forms on the leaves.","dew, dews",dew
"At dawn, a light dew ______ on the leaves.","forms, form",forms
The ______ is very nice today.,"weather, weathers",weather
The weather is very nice ______.,"today, todays",today
The local ______ is extraordinarly rich.,"fauna, faunas",fauna
"Be careful with this ______, it has thorns on its stem.","flower, flowers",flower
"Be careful with this flower, it has ______ on its stem.","thorns, thorn",thorns
"Be careful with this flower, it has thorns on its ______.","stem, stems",stem
He picked the ______ of the flower one by one.,"petals, petal",petals
He picked the petals of the ______ one by one.,"flower, flowers",flower
You have to remove the ______ of the fruits if you want to make a compote out of it.,"stones, stone",stones
You have to remove the stones of the ______ if you want to make a compote out of it.,"fruits, fruit",fruits
You have to remove the stones of the fruits if you want to make a ______ out of it.,"compote, compotes",compote
______ trunks floated in the river.,"Tree, Trees",Tree
Tree ______ floated in the river.,"trunks, trunk",trunks
Tree trunks floated in the ______.,"river, rivers",river
______ is formed when the lava cools down rapidly.,"Basalt, Basalts",Basalt
Basalt is formed when the ______ cools down rapidly.,"lava, lavas",lava
You can climb ______ blocks.,"granite, granites",granite
You can climb granite ______.,"blocks, block",blocks
You have to identify the ______ in the rock to name it.,"minerals, mineral",minerals
You have to identify the minerals in the ______ to name it.,"rock, rocks",rock
There are no ______ in this crystal.,"impurities, impurity",impurities
There are no impurities in this ______.,"crystal, crystals",crystal
Melting ______ becomes lava.,"rock, rocks",rock
Melting rock becomes ______.,"lava, lavas",lava
The Eyjafjöll ______ has erupted.,"volcano, volcanoes",volcano
The ______ has sculpted the landscape.,"erosion, erosions",erosion
The erosion has sculpted the ______.,"landscape, landscapes",landscape
The ______ goes across the city.,"equator, equators",equator
The equator goes across the ______.,"city, cities",city
"At the ______, night falls earlier in the summer.","tropics, tropic",tropics
"At the tropics, ______ falls earlier in the summer.","night, nights",night
"At the tropics, night falls earlier in the ______.","summer, summers",summer
Global ______ is more important at the poles.,"warming, warmings",warming
Global warming is more important at the ______.,"poles, pole",poles
The ______ and the medusa are two different steps of a different species.,"coral, corals",coral
The coral and the ______ are two different steps of a different species.,"medusa, medusas",medusa
The coral and the medusa are two different ______ of a different species.,"steps, step",steps
The ______ flows into space.,"waterfall, waterfalls",waterfall
The waterfall flows into ______.,"space, spaces",space
"They did not manage to go swimming in the ______, the water was freezing.","torrent, torrents",torrent
"They did not manage to go swimming in the torrent, the ______ was freezing.","water, waters",water
The ______ is steep-sided,"valley, valleys",valley
The ______ took refuge in a grove.,"stag, stags",stag
The stag took ______ in a grove.,"refuge, refuges",refuge
The stag took refuge in a ______.,"grove, groves",grove
The ______ took shelter in the bay.,"ship, ships",ship
The ship took ______ in the bay.,"shelter, shelters",shelter
The ship took shelter in the ______.,"bay, bays",bay
The ______ goes across the dunes.,"trail, trails",trail
The trail goes across the ______.,"dunes, dune",dunes
The Gulf of Mexico is a ______ hotspot.,"biodiversity, biodiversities",biodiversity
The Gulf of Mexico is a biodiversity ______.,"hotspot, hotspots",hotspot
The ______ provides a home for numerous fishes species.,"lagoon, lagoons",lagoon
The lagoon provides a ______ for numerous fishes species.,"home, homes",home
The lagoon provides a home for numerous ______ species.,"fishes, fish",fishes
The gold ______ are swimming in the pond.,"fish, fish",fish
The gold fish are swimming in the ______.,"pond, ponds",pond
Bison ______ are grazing in the meadow.,"herds, herd",herds
Bison herds are grazing in the ______.,"meadow, meadows",meadow
The Italian ______ is the scene of violent riots.,"peninsula, peninsulas",peninsula
The Italian peninsula is the ______ of violent riots.,"scene, scenes",scene
The Italian peninsula is the scene of violent ______.,"riots, riot",riots
"The ______ fell into the ravine, I am not going to get it.","ball, balls",ball
"The ball fell into the ______, I am not going to get it.","ravine, ravines",ravine
The ______ has been dried because of the malaria.,"swamp, swamps",swamp
The swamp has been dried because of the ______.,"malaria, malarias",malaria
The ______ of this tree has medicinal properties.,"bark, barks",bark
The bark of this ______ has medicinal properties.,"tree, trees",tree
The bark of this tree has medicinal ______.,"properties, property",properties
The lunar ______ will only be visible from the Northern hemisphere.,"eclipse, eclipses",eclipse
The lunar eclipse will only be visible from the Northern ______.,"hemisphere, hemispheres",hemisphere
The ______ was destroyed when it entered the atmosphere.,"meteorite, meteorites",meteorite
The meteorite was destroyed when it entered the ______.,"atmosphere, atmospheres",atmosphere
The ______ is in orbit around the Earth.,"satellite, satellites",satellite
The satellite is in ______ around the Earth.,"orbit, orbits",orbit
The ______ points North.,"compass, compasses",compass
We have to go a little ______ further South.,"bit, bits",bit
The ______ is one hundred kilometers East of the city.,"forest, forests",forest
The forest is one hundred ______ East of the city.,"kilometers, kilometer",kilometers
The forest is one hundred kilometers East of the ______.,"city, cities",city
The late ______ have spoilt the fruit trees.,"frosts, frost",frosts
The late frosts have spoilt the ______ trees.,"fruit, fruits",fruit
The late frosts have spoilt the fruit ______.,"trees, tree",trees
The ______ exploded because of the frost.,"pipe, pipes",pipe
The pipe exploded because of the ______.,"frost, frosts",frost
A ______ of lightning ripped off the sky.,"flash, flashes",flash
A flash of ______ ripped off the sky.,"lightning, lightnings",lightning
A flash of lightning ripped off the ______.,"sky, skies",sky
______ is growling in the distance.,"Thunder, Thunders",Thunder
Thunder is growling in the ______.,"distance, distances",distance
There was a ______ after the rain.,"rainbow, rainbows",rainbow
There was a ______bow after the ______.,"rain, rains",rain
Mist floated above the ______.,"river, rivers",river
The ______ took the roof off the house.,"tornado, tornadoes",tornado
The tornado took the ______ off the house.,"roof, roofs",roof
The tornado took the roof off the ______.,"house, houses",house
______ of elderly people have died because of the heat wave.,"Thousands, Thousandss",Thousands
Thousands of elderly ______ have died because of the heat wave.,"people, peoples",people
Thousands of elderly people have died because of the ______ wave.,"heat, heats",heat
The ______ are making sandcastles.,"children, childrens",children
The children are making ______.,"sandcastles, sandcastle",sandcastles
The ______ is the mouth of a river.,"estuary, estuaries",estuary
The estuary is the ______ of a river.,"mouth, mouths",mouth
The estuary is the mouth of a ______.,"river, rivers",river
The ______ water has been poisonned by fertilizers.,"ground, grounds",ground
The ground ______ has been poisonned by fertilizers.,"water, waters",water
The ground water has been poisonned by ______.,"fertilizers, fertilizer",fertilizers
You can find white ______ at the North Pole.,"bears, bear",bears
The polar ______ lasts for half the year at the South Pole.,"night, nights",night
The polar night lasts for half the ______ at the South Pole.,"year, years",year
Not everyone will agree on the ______ of the Western pattern.,"merits, merit",merits
Not everyone will agree on the merits of the Western ______.,"pattern, patterns",pattern
The Oriental ______ of the country is very different from its Western ______.,"part, parts",part
The Oriental part of the ______ is very different from its Western part.,"country, countries",country
The Oriental ______ of the country is very different from its Western ______.,"part, parts",part
Northern ______ are slowly getting warmer.,"steppes, steppe",steppes
The Southern ______ of France is hit by dryness.,"part, parts",part
The Southern part of France is hit by ______.,"dryness, drynesses",dryness
The ______ is the uncontested master of the savannah.,"lion, lions",lion
The lion is the uncontested ______ of the savannah.,"master, masters",master
Do you want one or two fried ______ ?,"eggs, egg",eggs
We saw two ______ hurtling past us.,"cars, car",cars
They got three ______.,"children, childrens",children
Four ______ two makes eight.,"times, time",times
Eight ______ two makes sixteen.,"times, time",times
He has nine ______ of the inheritance.,"tenth, tenths",tenth
He has nine tenth of the ______.,"inheritance, inheritances",inheritance
We have got ten ______ to finish this report.,"minutes, minute",minutes
